ax: 0.122803 | ay: -0.213715 | az: -0.23613
ax: 0.271759 | ay: 0.303436 | az: 0.382339
ax: 0.489853 | ay: 0.670944 | az: 0.360107
ax: 0.579346 | ay: 0.769272 | az: 0.296158
ax: 0.611816 | ay: 0.707809 | az: 0.220062
ax: 0.581192 | ay: 0.601746 | az: 0.239502
ax: 0.51825 | ay: 0.379028 | az: 0.242371
ax: 0.484436 | ay: 0.320572 | az: 0.218506
ax: 0.430542 | ay: 0.297852 | az: 0.144135
ax: 0.373856 | ay: 0.3284 | az: 0.1418
ax: 0.197372 | ay: 0.200897 | az: 0.149017
ax: -0.0723724 | ay: -0.0556183 | az: 0.11235
ax: -0.37265 | ay: -0.403503 | az: -0.0253296
ax: -0.783142 | ay: -0.372192 | az: -0.206512
ax: -1.04898 | ay: -0.890564 | az: -0.593124
ax: -1.08218 | ay: -1.78758 | az: -0.872879
ax: -1.1109 | ay: -1.80197 | az: -1.29404
ax: -0.551834 | ay: -2.09103 | az: -1.44516
ax: -0.628967 | ay: -2.4256 | az: -0.980515
ax: -0.19426 | ay: -1.15105 | az: -1.02614
ax: -0.309494 | ay: 1.21667 | az: 0.533722
ax: -0.274994 | ay: 0.198349 | az: 0.48642
ax: -0.676468 | ay: -0.918182 | az: -0.290802
ax: -0.33548 | ay: -0.129562 | az: -0.174561
ax: -0.26088 | ay: -0.668518 | az: -0.474197
ax: -0.192886 | ay: -0.21727 | az: -0.276474
ax: 0.00956726 | ay: -0.285736 | az: -0.104797
ax: 0.00230408 | ay: -0.0172424 | az: -0.129532
ax: 0.015274 | ay: 0.139236 | az: -0.0442505
ax: -0.0419617 | ay: -0.104416 | az: -0.0563812
ax: -0.0364075 | ay: -0.0662384 | az: 0.0279846
ax: -0.00205994 | ay: 0.0952148 | az: -0.0329742
ax: 0.0764618 | ay: 0.209229 | az: -0.105484
ax: 0.00819397 | ay: -0.0298309 | az: 0.0327606
ax: -0.0313568 | ay: -0.0818176 | az: 0.117996
ax: -0.0142212 | ay: -0.0373535 | az: 0.0506897
ax: -0.00392151 | ay: 0.0292053 | az: -0.0402832
time: 4
[20210722075741.957]
> sum ax: -10.1188 | sum ay: -0.416397 | sum az: -3.927
>> avg ax: -0.202377 | avg ay: -0.00832794 | avg az: -0.07854
>>> vx: -0.991646 | vy: -0.040807 | vz: -0.384846
>>> sx: -0.606239 | sy: 0.390028 | sz: -0.0522087
>>> a: 0.217242
>>> v: 1.06449
>>> s: 0.722754

ax: -0.022644 | ay: -0.0226135 | az: -0.0462646
ax: -0.0115356 | ay: -0.0192413 | az: -0.0157623
ax: 0.0162354 | ay: 0.0314484 | az: -0.00131226
ax: -0.0083313 | ay: 0.0370483 | az: -0.00115967
ax: -0.0193787 | ay: -0.0143433 | az: -0.00671387
ax: -0.0315857 | ay: -0.0749359 | az: -0.0263367
ax: -0.0365143 | ay: 0.0250397 | az: 0.00791931
ax: -0.0987701 | ay: 0.0941925 | az: 0.0866547
ax: -0.139664 | ay: 0.0318451 | az: 0.1082
ax: -0.174942 | ay: 0.106644 | az: 0.0752869
ax: -0.263641 | ay: 0.105133 | az: 0.0891113
ax: -0.310349 | ay: 0.14415 | az: 0.157471
ax: -0.47731 | ay: 0.258011 | az: 0.154587
ax: -0.920364 | ay: 0.277298 | az: 0.110336
ax: -1.09888 | ay: 0.233353 | az: 0.191986
ax: -1.11591 | ay: 1.82776 | az: 0.333435
ax: -1.12662 | ay: 1.18134 | az: 0.385529
ax: -0.730301 | ay: 1.21213 | az: -0.215286
ax: -0.741104 | ay: 0.666534 | az: -0.33783
