steps: 796
ax: 0.501495 | ay: 0.181534 | az: 0.0123596
ax: 0.445145 | ay: 0.244003 | az: 0.00804138
ax: 0.261505 | ay: 0.230164 | az: 0.083847
ax: -0.0332947 | ay: 0.196823 | az: 0.159988
ax: -0.670395 | ay: -0.330048 | az: -0.0690308
ax: -0.826019 | ay: -0.458023 | az: 0.438797
ax: -1.14522 | ay: -1.00174 | az: 0.362732
ax: -1.20346 | ay: -2.08026 | az: 0.273544
ax: -1.2464 | ay: -2.4964 | az: -0.121368
ax: -1.04527 | ay: -2.60747 | az: -0.0858459
ax: -0.808548 | ay: -2.603 | az: 0.665695
ax: -0.892075 | ay: -1.86938 | az: -0.0574188
ax: 0.519135 | ay: -0.0407104 | az: -0.863739
ax: -0.370071 | ay: 1.50435 | az: 0.92804
ax: -1.18399 | ay: -1.21497 | az: 0.587219
ax: -0.826187 | ay: -0.631744 | az: -0.0392609
ax: -0.124359 | ay: -0.744461 | az: 0.010025
ax: -0.296936 | ay: -0.666077 | az: -0.134659
ax: -0.136566 | ay: -0.443192 | az: 0.106415
ax: -0.13446 | ay: -0.360306 | az: -0.131714
ax: 0.0169678 | ay: 0.0705872 | az: 0.0110626
ax: -0.117599 | ay: -0.0418396 | az: 0.0785522
ax: -0.0495453 | ay: 0.0279083 | az: 0.12529
ax: -0.000564575 | ay: -0.0305176 | az: -0.0501251
ax: 0.0296631 | ay: 0.0355377 | az: -0.0594177
ax: -0.0363464 | ay: -0.0387268 | az: 0.0294342
ax: -0.0396576 | ay: -0.0582123 | az: 0.157761
ax: -0.0275421 | ay: -0.0365906 | az: 0.155869
ax: -0.0401154 | ay: -0.0553741 | az: 0.0526276
ax: -0.0112915 | ay: -0.0482178 | az: 0.161514
ax: -0.0687714 | ay: -0.108917 | az: 0.0813141
ax: -0.0916595 | ay: -0.021759 | az: 0.0652008
ax: -0.193161 | ay: -0.00488281 | az: 0.119049
ax: -0.177353 | ay: 0.0796814 | az: 0.0337372
ax: -0.301056 | ay: 0.0931549 | az: 0.106201
ax: -0.410278 | ay: 0.166763 | az: 0.0357666
ax: -0.45166 | ay: 0.189102 | az: 0.301743
ax: -0.500946 | ay: 0.341736 | az: 0.236099
ax: -0.752594 | ay: 0.383514 | az: -0.214676
time: 4
[20210805060555.497]
> sum ax: -11.1904 | sum ay: -6.72273 | sum az: 2.37018
>> avg ax: -0.223809 | avg ay: -0.134455 | avg az: 0.0474036
>>> vx: -1.09666 | vy: -0.658827 | vz: 0.232277
>>> sx: -0.471599 | sy: -0.173947 | sz: 0.040069
>>> a: 0.265359
>>> v: 1.30026
>>> s: 0.50425

steps: 800
ax: -1.08041 | ay: 0.391281 | az: -0.452545
ax: -1.09718 | ay: 1.65102 | az: -0.884613
ax: -1.11484 | ay: 1.73242 | az: 0.0579376
ax: -1.13046 | ay: 1.1682 | az: -0.396255
ax: -1.06631 | ay: 1.18382 | az: -0.636902
ax: 0.167297 | ay: 0.947174 | az: -0.532166
ax: 0.19873 | ay: -0.0788879 | az: -0.384308
ax: -0.0731049 | ay: -0.275421 | az: -0.129196
ax: 0.688385 | ay: 0.702103 | az: 0.145157
ax: 0.772614 | ay: 0.915207 | az: 0.121323
ax: 0.739182 | ay: 0.851089 | az: 0.0772552
ax: 0.806396 | ay: 0.735321 | az: 0.0772247
ax: 0.701569 | ay: 0.455353 | az: 0.0752563
ax: 0.587753 | ay: 0.263611 | az: 0.0302734
ax: 0.570206 | ay: 0.20723 | az: 0.0252838
ax: 0.41983 | ay: 0.167282 | az: 0.0539093
ax: 0.214645 | ay: 0.175354 | az: 0.107483
ax: -0.319519 | ay: -0.145706 | az: 0.00439453
ax: -0.715332 | ay: -0.416168 | az: 0.252365
ax: -1.1201 | ay: -0.871231 | az: 0.132935
ax: -1.18234 | ay: -1.7932 | az: -3.05176e-05
ax: -1.23294 | ay: -2.39801 | az: -0.0751495
ax: -1.26776 | ay: -2.61336 | az: -0.259598
ax: -1.12465 | ay: -2.61433 | az: 0.595673
ax: -0.738129 | ay: -2.25699 | az: 0.00556946
ax: -0.231796 | ay: 1.32945 | az: 0.00979614
ax: -0.547089 | ay: 0.549347 | az: 0.873764
ax: -1.16649 | ay: -1.47409 | az: -0.0606995
ax: -0.325851 | ay: -0.548187 | az: -0.0578003
ax: -0.484756 | ay: -1.0808 | az: 0.0359497
ax: 0.0323486 | ay: -0.517227 | az: 0.167877
ax: -0.0866547 | ay: -0.404434 | az: -0.118896
ax: 0.0814667 | ay: 0.0950317 | az: -0.0430908
ax: -0.080246 | ay: -0.131805 | az: 0.159256
ax: 0.0641327 | ay: -0.00706482 | az: 0.194672
ax: -0.0496063 | ay: -0.247559 | az: -0.133194
ax: 0.0171051 | ay: -0.0979462 | az: -0.203476
ax: -0.0239258 | ay: 0.00111389 | az: 0.0429382
ax: -0.0090332 | ay: 0.108582 | az: 0.0987244
ax: -0.064743 | ay: 0.00135803 | az: 0.129181
ax: -0.0606995 | ay: -0.115005 | az: 0.0660248
ax: -0.0495453 | ay: -0.140808 | az: 0.0312653
ax: -0.0611877 | ay: -0.148712 | az: 0.113144
ax: -0.0899811 | ay: 0.00810242 | az: 0.123077
ax: -0.152817 | ay: 0.0274658 | az: 0.0498962
ax: -0.152695 | ay: -0.0143433 | az: 0.0329437
ax: -0.312256 | ay: 0.112183 | az: 0.10701
ax: -0.4039 | ay: 0.181763 | az: 0.0673828
ax: -0.481857 | ay: 0.210754 | az: 0.180054
ax: -0.574768 | ay: 0.36644 | az: 0.361938
time: 5
[20210805060556.497]
> sum ax: -12.6113 | sum ay: -3.85323 | sum az: 0.239014
>> avg ax: -0.252227 | avg ay: -0.0770645 | avg az: 0.00478027
>>> vx: -1.23591 | vy: -0.377616 | vz: 0.0234234
>>> sx: -0.656043 | sy: 0.155041 | sz: -0.161723
>>> a: 0.26378
>>> v: 1.29252
>>> s: 0.693242

steps: 801
ax: -0.637466 | ay: 0.389572 | az: 0.00505066
ax: -0.953171 | ay: 0.382492 | az: -0.322632
ax: -1.07846 | ay: 1.10544 | az: -0.659973
ax: -1.09428 | ay: 2.02792 | az: -0.243439
ax: -1.11404 | ay: 1.16292 | az: -0.289062
ax: -1.08865 | ay: 1.20486 | az: -0.647247
ax: 0.0212708 | ay: 1.20401 | az: -0.664749
ax: 0.47757 | ay: -0.309753 | az: -0.304245
ax: 0.0363617 | ay: -0.420639 | az: -0.409088
ax: 0.700104 | ay: 0.793152 | az: -0.017807
ax: 0.81636 | ay: 1.02194 | az: -0.0196838
ax: 0.756836 | ay: 0.802399 | az: -0.0234222
