ax: 1.2148 | ay: -1.2908 | az: -0.687531
ax: 1.09128 | ay: -1.42912 | az: -1.216
ax: 0.168564 | ay: -1.10205 | az: -0.481857
ax: 1.31696 | ay: 0.232422 | az: -0.271744
ax: -0.336868 | ay: 0.453934 | az: 0.162613
ax: -0.143982 | ay: -0.586884 | az: 0.089386
ax: -0.68129 | ay: -0.864014 | az: 0.0270081
ax: -0.571106 | ay: -1.08638 | az: -0.19783
ax: -0.690735 | ay: -1.08131 | az: -0.131256
ax: -0.551743 | ay: -0.769455 | az: -0.157562
ax: -0.580368 | ay: -0.4767 | az: -0.179184
ax: -0.50209 | ay: -0.246017 | az: -0.15239
time: 3
[20201117135351.758]
> sum ax: 14.3854 | sum ay: -4.77736 | sum az: -3.20312
>> avg ax: 0.287708 | avg ay: -0.0955472 | avg az: -0.0640625
>>> vx: 2.81953 | vy: -0.936362 | vz: -0.627813
>>> sx: 1.94319 | sy: 1.40181 | sz: -0.0961625
>>> a: 0.309853
>>> v: 3.03656
>>> s: 2.39798

ax: -0.33963 | ay: -0.0464172 | az: -0.0791931
ax: -0.237503 | ay: -0.11615 | az: -0.0862274
ax: 0.121094 | ay: 0.0627899 | az: -0.173965
ax: 0.572006 | ay: 0.352875 | az: -0.319702
ax: 1.04732 | ay: 1.17168 | az: -0.281754
ax: 1.09007 | ay: 1.8927 | az: -0.0336304
ax: 1.12991 | ay: 2.43221 | az: 0.0865479
ax: 0.978363 | ay: 2.47467 | az: -0.395096
ax: 0.543304 | ay: 2.4697 | az: 0.425949
ax: 1.14232 | ay: 1.61238 | az: -0.364502
ax: -0.653458 | ay: -1.63263 | az: -0.919724
ax: 0.807373 | ay: -1.08003 | az: 1.2598
ax: 1.09634 | ay: 1.3103 | az: 0.0958405
ax: 0.153427 | ay: 0.542526 | az: -0.157669
ax: 0.766159 | ay: 1.41653 | az: -0.0832825
ax: -0.0120239 | ay: 0.155624 | az: 0.015564
ax: 0.0768738 | ay: 0.341736 | az: -0.065567
ax: -0.0380554 | ay: 0.104355 | az: -0.0131683
ax: 0.102142 | ay: -0.00466919 | az: 0.0966644
ax: 0.100021 | ay: -0.154266 | az: 0.0364227
ax: -0.00292969 | ay: -0.284225 | az: 0.00144958
ax: -0.0406647 | ay: -0.144958 | az: -0.214218
ax: -0.0869751 | ay: -0.129135 | az: -0.254013
ax: -0.026825 | ay: -0.249557 | az: -0.109161
ax: -0.00157166 | ay: -0.325699 | az: 0.039978
ax: 0.0574493 | ay: -0.181778 | az: 0.149506
ax: 0.0862122 | ay: -0.0821686 | az: 0.0835876
ax: 0.0479126 | ay: -0.056015 | az: 0.0384064
ax: 0.0786438 | ay: -0.0845337 | az: 0.0412903
ax: 0.109497 | ay: -0.105637 | az: 0.0115967
ax: 0.0976868 | ay: -0.182144 | az: -0.0177612
ax: 0.124313 | ay: -0.233276 | az: -0.0205994
ax: 0.254791 | ay: -0.32782 | az: 0.0194244
ax: 0.388062 | ay: -0.413712 | az: 0.0329895
ax: 0.515167 | ay: -0.475906 | az: 0.121613
ax: 0.638412 | ay: -0.56366 | az: 0.244934
ax: 0.683029 | ay: -0.676208 | az: 0.141235
ax: 1.11647 | ay: -0.803101 | az: 0.105072
ax: 1.13899 | ay: -2.27496 | az: -0.674637
ax: 1.16296 | ay: -1.95172 | az: -0.383102
ax: 1.17561 | ay: -1.08615 | az: -0.342636
ax: 0.962509 | ay: -1.53099 | az: -0.605347
ax: 0.250793 | ay: -1.13562 | az: -0.664612
ax: 1.27367 | ay: 0.433426 | az: 0.0999146
ax: -0.3228 | ay: 0.26709 | az: 0.252533
ax: -0.393692 | ay: -0.757477 | az: 0.0593109
ax: -0.623337 | ay: -0.930984 | az: 0.119141
ax: -0.633865 | ay: -1.02498 | az: -0.012558
ax: -0.788345 | ay: -0.963623 | az: -0.0090332
ax: -0.605194 | ay: -0.679337 | az: -0.0597992
time: 4
[20201117135352.749]
> sum ax: 15.082 | sum ay: -3.64896 | sum az: -2.76219
>> avg ax: 0.301641 | avg ay: -0.0729791 | avg az: -0.0552438
>>> vx: 2.95608 | vy: -0.715196 | vz: -0.54139
>>> sx: 1.80008 | sy: 1.45612 | sz: -0.270193
>>> a: 0.315222
>>> v: 3.08918
>>> s: 2.331

ax: -0.581451 | ay: -0.406174 | az: -0.019165
ax: -0.483032 | ay: -0.296463 | az: -0.0164337
ax: -0.333511 | ay: -0.132019 | az: 0.02742
ax: -0.149384 | ay: -0.0554657 | az: 0.0474548
ax: 0.26297 | ay: 0.216812 | az: 0.112915
ax: 0.728821 | ay: 0.59581 | az: 0.015686
ax: 1.06625 | ay: 1.10327 | az: -0.106873
ax: 1.11378 | ay: 1.9792 | az: 0.0657196
ax: 1.155 | ay: 2.50272 | az: -0.0388641
ax: 1.18033 | ay: 2.54051 | az: -0.715561
ax: 0.965668 | ay: 2.53189 | az: -0.0256958
ax: 0.677414 | ay: -1.52454 | az: 0.316498
ax: -0.117432 | ay: 1.06354 | az: 0.374359
ax: 0.0783081 | ay: 0.249146 | az: 0.213089
ax: 0.948181 | ay: 0.778656 | az: -0.481552
ax: 0.311111 | ay: 0.927582 | az: -0.114059
ax: 0.0559387 | ay: 0.476532 | az: 0.270432
ax: 0.0291901 | ay: 0.21109 | az: -0.000869751
ax: 0.0823059 | ay: 0.101517 | az: -0.0577087
ax: 0.0459747 | ay: -0.0164948 | az: -0.0632935
ax: 0.0965424 | ay: -0.080719 | az: -0.0376434
ax: -0.0218506 | ay: -0.154221 | az: -0.0336151
ax: -0.0382385 | ay: -0.184143 | az: -0.101776
ax: -0.0831909 | ay: -0.303345 | az: -0.220383
ax: -0.0588989 | ay: -0.289337 | az: -0.180023
ax: -0.0248108 | ay: -0.199417 | az: 0.00482178
ax: 0.029068 | ay: -0.127869 | az: 0.113434
ax: 0.0299988 | ay: -0.0693817 | az: 0.0660248
ax: 0.0135193 | ay: -0.041153 | az: 0.0251465
ax: 0.0043335 | ay: -0.0484772 | az: -0.00448608
ax: 0.0241547 | ay: -0.0647888 | az: 0.000366211
ax: 0.0806122 | ay: -0.131271 | az: 0.00372314
ax: 0.149643 | ay: -0.185013 | az: 0.0484924
ax: 0.185699 | ay: -0.211197 | az: 0.0530396
ax: 0.284317 | ay: -0.297058 | az: 0.0500641
ax: 0.401321 | ay: -0.373062 | az: 0.0194397
ax: 0.500107 | ay: -0.417328 | az: 0.184219
ax: 0.56871 | ay: -0.49585 | az: 0.184784
ax: 0.786072 | ay: -0.52977 | az: -0.0118408
ax: 1.10075 | ay: -0.830673 | az: -0.177612
ax: 1.12091 | ay: -2.46072 | az: -0.795547
ax: 1.14633 | ay: -1.57277 | az: 0.0993805
ax: 1.11029 | ay: -1.15462 | az: -0.999237
ax: 0.613144 | ay: -1.64984 | az: -0.517075
ax: -0.094101 | ay: -0.569046 | az: -0.611099
ax: -0.00886536 | ay: 0.424683 | az: -0.267685
ax: 0.0904694 | ay: 0.19754 | az: 0.360626
ax: -0.473877 | ay: -0.87355 | az: 0.0411072
ax: -0.7164 | ay: -0.909454 | az: -0.0692444
ax: -0.665359 | ay: -1.17242 | az: -0.168823
time: 5
[20201117135353.750]
> sum ax: 13.1868 | sum ay: -1.92715 | sum az: -3.13792
>> avg ax: 0.263737 | avg ay: -0.0385431 | avg az: -0.0627585
>>> vx: 2.58462 | vy: -0.377722 | vz: -0.615033
>>> sx: 1.41173 | sy: 1.41098 | sz: -0.137449
>>> a: 0.273827
>>> v: 2.68351
>>> s: 2.00069

ax: -0.803665 | ay: -0.994125 | az: -0.0529938
ax: -0.644119 | ay: -0.569244 | az: -0.0942078
ax: -0.565033 | ay: -0.38147 | az: -0.0585327
ax: -0.423584 | ay: -0.195023 | az: -0.00291443
ax: -0.279999 | ay: -0.0984344 | az: 0.0409241
ax: -0.11438 | ay: -0.129181 | az: 0.064682
ax: 0.368195 | ay: -0.0464783 | az: -0.0428925
ax: 0.983154 | ay: 0.431259 | az: 0.170822
ax: 1.08134 | ay: 1.1252 | az: 0.0916901
ax: 1.13292 | ay: 1.99539 | az: 0.109451
ax: 1.17339 | ay: 2.37776 | az: -0.255814
ax: 0.853302 | ay: 2.5462 | az: -0.0931396
ax: 0.854248 | ay: 2.5267 | az: 0.0110321
ax: 0.688095 | ay: -1.52956 | az: -0.0602875
ax: -0.25856 | ay: 0.561005 | az: 0.741974
ax: 0.841553 | ay: 1.22884 | az: 0.268692
ax: 0.724487 | ay: 0.393921 | az: -0.808777
ax: 0.635712 | ay: 1.01099 | az: -0.206329
ax: -0.13324 | ay: 0.291626 | az: 0.0939941
ax: 0.101349 | ay: 0.432999 | az: 0.0681152
ax: 0.112473 | ay: 0.0668182 | az: 0.0208893
ax: 0.0323944 | ay: -0.0610657 | az: -0.0273285
ax: 0.0294952 | ay: -0.179977 | az: -0.0683136
ax: -0.0167389 | ay: -0.128647 | az: -0.0884399
ax: 0.00827026 | ay: -0.0412598 | az: -0.0402222
ax: -0.0613098 | ay: -0.176529 | az: -0.203217
ax: -0.0653381 | ay: -0.159485 | az: -0.107452
ax: -0.028595 | ay: -0.19281 | az: -0.00820923
ax: 0.0217896 | ay: -0.112595 | az: 0.117249
ax: 0.0523376 | ay: -0.0809784 | az: 0.0466156
ax: 0.0337219 | ay: -0.0950928 | az: -0.00691223
ax: 0.0422668 | ay: -0.0205994 | az: 0.0343933
ax: 0.0509644 | ay: -0.0675659 | az: 0.0117188
ax: 0.128494 | ay: -0.159988 | az: 0.00709534
ax: 0.175888 | ay: -0.12999 | az: -0.0161285
ax: 0.223221 | ay: -0.198715 | az: 0.00793457
ax: 0.332062 | ay: -0.363083 | az: 0.034668
ax: 0.46904 | ay: -0.362488 | az: 0.0873871
ax: 0.673233 | ay: -0.493988 | az: 0.178436
ax: 0.727371 | ay: -0.629654 | az: 0.0975342
ax: 1.08429 | ay: -0.843124 | az: -0.177048
ax: 1.10492 | ay: -1.87128 | az: -0.675827
ax: 1.1273 | ay: -2.11838 | az: -0.198502
ax: 1.16039 | ay: -1.41264 | az: -0.917572
ax: 0.768799 | ay: -0.886368 | az: -0.784012
ax: -0.14003 | ay: -0.787552 | az: -0.642426
ax: 1.24841 | ay: 0.459503 | az: 0.216141
ax: -0.281464 | ay: 0.19487 | az: 0.462219
ax: -0.390274 | ay: -0.88031 | az: 0.0386505
ax: -0.705368 | ay: -0.966553 | az: 0.0867157
time: 6
[20201117135354.752]
> sum ax: 14.1332 | sum ay: -1.72115 | sum az: -2.52847
>> avg ax: 0.282664 | avg ay: -0.0344229 | avg az: -0.0505695
>>> vx: 2.7701 | vy: -0.337344 | vz: -0.495581
>>> sx: 1.18033 | sy: 1.07756 | sz: -0.101902
>>> a: 0.289207
>>> v: 2.83423
>>> s: 1.60147

ax: -0.63736 | ay: -1.07584 | az: -0.0829468
ax: -0.78862 | ay: -0.948669 | az: 0.0109711
ax: -0.58934 | ay: -0.541336 | az: 0.00793457
ax: -0.541779 | ay: -0.325867 | az: 0.0280304
ax: -0.457611 | ay: -0.276779 | az: 0.0883636
ax: -0.318161 | ay: -0.201721 | az: 0.157593
ax: -0.123505 | ay: -0.143997 | az: 0.145599
ax: 0.211136 | ay: -0.152573 | az: 0.0811157
ax: 0.842606 | ay: 0.378326 | az: 0.118423
ax: 1.08691 | ay: 1.0242 | az: 0.00901794
ax: 1.14189 | ay: 1.98611 | az: -0.171371
ax: 1.18953 | ay: 2.54224 | az: 0.12442
ax: 0.962051 | ay: 2.58559 | az: -0.490524
ax: 0.569397 | ay: 2.58636 | az: 0.243866
ax: 1.03912 | ay: 0.950256 | az: 0.467194
ax: -0.00994873 | ay: -1.49657 | az: 0.534882
ax: 1.0067 | ay: 1.19299 | az: 0.559845
ax: 0.775543 | ay: 0.734283 | az: 0.696655
ax: 0.50296 | ay: 1.32582 | az: -0.428726
ax: 0.791748 | ay: 0.697571 | az: -0.0919495
ax: -0.0258636 | ay: 0.301422 | az: 0.0465088
ax: 0.171494 | ay: 0.394485 | az: -0.0310364
ax: -0.0428009 | ay: -0.0243225 | az: -0.181519
ax: 0.0710907 | ay: 0.0497437 | az: -0.0106964
ax: 0.0199127 | ay: -0.182816 | az: -0.00735474
ax: -0.00814819 | ay: -0.147583 | az: -0.0690613
ax: -0.0156097 | ay: -0.121979 | az: -0.196243
ax: -0.0995941 | ay: -0.149811 | az: -0.16214
ax: -0.0326843 | ay: -0.0909424 | az: -0.0189819
ax: -0.015152 | ay: -0.148499 | az: 0.0472717
ax: 0.0551147 | ay: -0.00102234 | az: 0.0749664
ax: 0.0527802 | ay: 0.0257263 | az: 0.0235138
ax: 0.0241547 | ay: -0.0388031 | az: 0.00598145
ax: 0.0466766 | ay: -0.0203247 | az: -0.00508118
ax: 0.134705 | ay: -0.0470886 | az: 0.0085907
ax: 0.153732 | ay: -0.115768 | az: 0.0545349
ax: 0.200668 | ay: -0.186203 | az: 0.156921
ax: 0.37207 | ay: -0.307907 | az: 0.0495148
ax: 0.492813 | ay: -0.296555 | az: -0.0152283
ax: 0.582214 | ay: -0.458298 | az: 0.156235
ax: 0.616348 | ay: -0.550446 | az: -0.00256348
ax: 1.07893 | ay: -0.668091 | az: -0.154556
ax: 1.09975 | ay: -1.65193 | az: -0.377045
ax: 1.12236 | ay: -1.94006 | az: 0.24968
ax: 1.15129 | ay: -1.76077 | az: -0.884216
ax: 0.649994 | ay: -0.854721 | az: -0.854507
ax: 0.170883 | ay: -0.884125 | az: -0.760605
ax: 1.00876 | ay: 0.237518 | az: -0.255371
ax: -0.173355 | ay: 0.603683 | az: 0.296555
ax: -0.472214 | ay: -0.620148 | az: 0.0113373
time: 7
[20201117135355.753]
> sum ax: 15.0436 | sum ay: 1.18477 | sum az: -0.796204
>> avg ax: 0.300872 | avg ay: 0.0236954 | avg az: -0.0159241
>>> vx: 2.94854 | vy: 0.232215 | vz: -0.156056
>>> sx: 1.1213 | sy: 1.14605 | sz: 0.200046
>>> a: 0.302223
>>> v: 2.96179
>>> s: 1.61579

ax: -0.851791 | ay: -0.877197 | az: -0.0452118
ax: -0.602036 | ay: -1.12575 | az: -0.155624
ax: -0.825287 | ay: -0.97673 | az: -0.0394897
ax: -0.709869 | ay: -0.596985 | az: -0.0634613
ax: -0.61438 | ay: -0.368698 | az: -0.0797882
ax: -0.520645 | ay: -0.211014 | az: -0.0511475
ax: -0.401093 | ay: -0.110855 | az: 0.0186768
ax: -0.28363 | ay: -0.0453186 | az: 0.0923309
ax: 0.0122681 | ay: -0.0715637 | az: 0.0269928
ax: 0.607132 | ay: 0.277908 | az: 0.103577
ax: 1.07173 | ay: 0.851685 | az: 0.062851
