ax: -0.374451 | ay: -0.346527 | az: 0.0752106
ax: -0.349075 | ay: -0.287048 | az: 0.130341
time: 4
[20210722063808.863]
> sum ax: -9.5338 | sum ay: -0.870728 | sum az: -1.65659
>> avg ax: -0.190676 | avg ay: -0.0174146 | avg az: -0.0331317
>>> vx: -0.934312 | vy: -0.0853313 | vz: -0.162345
>>> sx: -0.366857 | sy: 0.323871 | sz: 0.0429289
>>> a: 0.194315
>>> v: 0.952143
>>> s: 0.491243

ax: -0.00486755 | ay: -0.20076 | az: -0.246338
ax: 0.0360413 | ay: -0.150345 | az: -0.540512
ax: -0.120651 | ay: -0.419601 | az: -0.266235
ax: -0.14386 | ay: -0.481171 | az: -0.035553
ax: -0.131989 | ay: -0.0625763 | az: -0.0404205
ax: -0.0395508 | ay: 0.0401611 | az: -0.0425873
ax: -0.0709686 | ay: 0.0358124 | az: 0.0365753
ax: -0.0662994 | ay: -0.0210571 | az: -0.00675964
ax: -0.00483704 | ay: -0.0227966 | az: -0.0891418
ax: -0.00645447 | ay: -0.0303497 | az: -0.106766
ax: 0.0272522 | ay: 0.0158386 | az: -0.0251007
ax: -0.000228882 | ay: -0.0217285 | az: 0.0720673
ax: 0.000534058 | ay: -0.0376434 | az: 0.0699921
ax: 0.0130005 | ay: -0.0294189 | az: -0.00364685
ax: 0.0218964 | ay: -0.00286865 | az: -0.0486298
ax: 0.0241699 | ay: 0.0204773 | az: -0.0429535
ax: 0.0240326 | ay: 0.0224609 | az: 0.00701904
ax: 0 | ay: -0.0242157 | az: 0.0306396
ax: -0.00999451 | ay: -0.0276794 | az: 0.0222015
ax: -0.0241394 | ay: 0.00267029 | az: 0.00317383
ax: -0.0270538 | ay: 0.0612793 | az: 0.00341797
ax: -0.0542145 | ay: -0.00228882 | az: 0.0159149
ax: -0.0506287 | ay: 0.0277557 | az: 0.0282593
ax: -0.103714 | ay: 0.0260162 | az: 0.0391388
ax: -0.10379 | ay: 0.0556488 | az: 0.0695801
ax: -0.166718 | ay: 0.0631409 | az: 0.167099
ax: -0.198242 | ay: 0.035614 | az: 0.105698
ax: -0.27623 | ay: 0.0851135 | az: 0.0407867
ax: -0.434372 | ay: 0.136398 | az: -0.028595
ax: -0.766251 | ay: 0.16066 | az: -0.0202484
ax: -1.08755 | ay: 0.603867 | az: 0.0108032
ax: -1.03471 | ay: 1.46481 | az: 0.394058
ax: -1.02519 | ay: 0.670273 | az: 0.429306
ax: -0.789413 | ay: 0.651901 | az: 0.232498
ax: -0.564255 | ay: 0.573929 | az: -0.315598
ax: -0.222763 | ay: 0.922638 | az: -0.312225
