ax: 0.476822 | ay: 1.03096 | az: 0.318878
ax: -0.0904694 | ay: 0.439728 | az: 0.654327
ax: 0.138107 | ay: 0.655746 | az: -0.0877075
ax: 0.137299 | ay: 0.24614 | az: 0.187698
ax: 0.0747528 | ay: 0.224976 | az: 0.0618744
ax: 0.0562897 | ay: -0.0475159 | az: 0.175766
ax: 0.061203 | ay: -0.04039 | az: 0.0796051
ax: -0.0325317 | ay: 0.0503845 | az: 0.0105133
ax: -0.0419312 | ay: 0.0745087 | az: -0.0615234
ax: 0.0197144 | ay: 0.092926 | az: -0.0670166
ax: -0.0546875 | ay: 0.131622 | az: -0.0782471
ax: 0.020462 | ay: -0.0312805 | az: 0.167725
ax: 0.0400543 | ay: -0.159988 | az: 0.164902
ax: 0.06987 | ay: -0.259766 | az: 0.0261536
4: [20200927220626.197]
> sum ax: 11.2309 | sum ay: 7.92828 | sum az: 6.54657
>> avg ax: 0.224619 | avg ay: 0.158566 | avg az: 0.130931
>>> vx: 2.20126 | vy: 1.55394 | vz: 1.28313
>>> sx: 1.22319 | sy: 0.0606142 | sz: 0.0533436
>>> a: 0.304532
>>> v: 2.98441
>>> s: 1.22585

ax: 0.0720978 | ay: 0.00361633 | az: 0.0244141
ax: 0.0888672 | ay: 0.163361 | az: 0.0680084
ax: 0.0896759 | ay: 0.0394135 | az: 0.043869
ax: 0.256073 | ay: -0.0757294 | az: -0.0485382
ax: 0.404892 | ay: -0.163025 | az: -0.0295105
ax: 0.532028 | ay: -0.207916 | az: 0.111664
ax: 0.623016 | ay: -0.339691 | az: 0.139328
ax: 0.659424 | ay: -0.420441 | az: -0.113342
ax: 0.819519 | ay: -0.301529 | az: -0.377747
ax: 1.06612 | ay: -0.612183 | az: -0.617966
ax: 1.08331 | ay: -1.73518 | az: -1.05521
ax: 1.10516 | ay: -1.14981 | az: -0.343658
ax: 1.10925 | ay: -1.04739 | az: -0.936172
ax: 0.385452 | ay: -0.746613 | az: -1.36148
ax: 0.0684662 | ay: 0.381561 | az: -0.129761
ax: -0.606964 | ay: 0.800751 | az: -0.234406
ax: -0.133881 | ay: -0.830399 | az: -0.388397
ax: -0.727127 | ay: -0.950836 | az: -0.261688
ax: -0.742798 | ay: -0.574036 | az: -0.20871
ax: -0.818207 | ay: -0.425522 | az: -0.191238
ax: -0.763596 | ay: -0.267334 | az: -0.185898
ax: -0.766876 | ay: -0.224442 | az: -0.147736
ax: -0.709061 | ay: -0.220581 | az: -0.111176
ax: -0.567398 | ay: -0.159286 | az: -0.0995636
ax: -0.423706 | ay: -0.0656433 | az: -0.0431366
ax: -0.0224609 | ay: -0.0405273 | az: 0.0340576
ax: 0.641388 | ay: 0.323807 | az: 0.229523
ax: 1.12192 | ay: 0.750366 | az: 0.43335
ax: 1.19063 | ay: 1.36594 | az: 0.827759
ax: 1.24838 | ay: 2.47884 | az: 1.13872
ax: 1.1301 | ay: 2.52917 | az: 1.07271
ax: 0.74884 | ay: 2.54337 | az: 1.23737
ax: 0.727417 | ay: 2.51746 | az: 0.788116
ax: 0.495148 | ay: 2.255 | az: 0.603958
ax: 0.0751953 | ay: -1.61658 | az: -1.59804
ax: -0.477295 | ay: -0.0533905 | az: 0.509338
ax: 1.14363 | ay: 1.20738 | az: 1.22252
ax: 0.458755 | ay: 0.478897 | az: -0.0197296
ax: 0.700699 | ay: 1.46281 | az: 0.0355377
ax: -0.137741 | ay: 0.279999 | az: 0.579269
ax: 0.0234985 | ay: 0.549774 | az: -0.116379
ax: 0.0838318 | ay: 0.437515 | az: -0.151962
ax: 0.11499 | ay: 0.0696106 | az: 0.0237732
ax: 0.0332336 | ay: -0.0668335 | az: 0.105896
ax: -0.00440979 | ay: 0.037262 | az: 0.100266
ax: 0.00354004 | ay: 0.106903 | az: 0.0906982
ax: -0.0112 | ay: 0.0975189 | az: 0.0424805
ax: -0.0231781 | ay: 0.172516 | az: -0.0262909
ax: -0.0090332 | ay: 0.0525513 | az: 0.042511
ax: 0.0126343 | ay: 0.0190887 | az: 0.132584
5: [20200927220627.195]
> sum ax: 11.3723 | sum ay: 8.82956 | sum az: 0.839981
>> avg ax: 0.227445 | avg ay: 0.176591 | avg az: 0.0167996
>>> vx: 2.22896 | vy: 1.73059 | vz: 0.164636
>>> sx: 1.30193 | sy: -0.0855854 | sz: -0.408494
>>> a: 0.288441
>>> v: 2.82672
>>> s: 1.3672

ax: 0.0191956 | ay: -0.00175476 | az: 0.138901
ax: 0.0297089 | ay: -0.0387115 | az: 0.0396118
ax: 0.0229187 | ay: -0.0654144 | az: -0.00672913
