steps: 0
ax: -0.421783 | ay: -0.32634 | az: -0.328293
ax: 0.015564 | ay: 0.0193939 | az: -0.734818
ax: -0.273544 | ay: -0.497101 | az: -0.249207
ax: -0.18219 | ay: -0.433319 | az: 0.0540314
ax: -0.0830383 | ay: -0.135269 | az: -0.115631
ax: -0.0911407 | ay: -0.0267487 | az: -0.121201
ax: -0.0480652 | ay: -0.0569916 | az: -0.0587769
ax: -0.012146 | ay: -0.0561523 | az: -0.0462799
ax: -0.00387573 | ay: -0.055069 | az: -0.0871735
time: 3
[20210810070412.186]
> sum ax: -10.6125 | sum ay: -3.39264 | sum az: -5.74644
>> avg ax: -0.212249 | avg ay: -0.0678528 | avg az: -0.114929
>>> vx: -1.04002 | vy: -0.332479 | vz: -0.563152
>>> sx: -0.561427 | sy: 0.240683 | sz: -0.059011
>>> a: 0.250724
>>> v: 1.22855
>>> s: 0.613686

ax: -0.00195312 | ay: -0.0740051 | az: -0.0916138
ax: 0.0149231 | ay: -0.0688934 | az: 0.00827026
ax: -0.000564575 | ay: -0.147522 | az: 0.0111847
ax: -0.00292969 | ay: -0.106659 | az: -0.0156097
ax: 0.0294037 | ay: -0.0898895 | az: -0.062561
ax: 0.0199432 | ay: 0.00419617 | az: -0.0426636
ax: -0.00643921 | ay: 0.00463867 | az: -0.0198059
ax: -0.0161591 | ay: -0.0237732 | az: -0.0325928
ax: -0.00389099 | ay: -0.0242004 | az: -0.0380707
ax: -0.0242767 | ay: -0.0466309 | az: -0.0436707
ax: -0.0289154 | ay: -0.0619202 | az: -0.0149689
ax: -0.040802 | ay: -0.0445862 | az: -0.0231171
ax: -0.0905914 | ay: -0.0462952 | az: -0.0065155
ax: -0.0738373 | ay: -0.00390625 | az: 0.0303955
ax: -0.113312 | ay: 0.0223236 | az: 0.0656128
ax: -0.159302 | ay: 0.0282135 | az: 0.087616
ax: -0.221878 | ay: -0.0176086 | az: 0.0584412
ax: -0.254532 | ay: 0.0109863 | az: 0.0214233
ax: -0.35408 | ay: 0.0720978 | az: 0.0243835
ax: -0.5867 | ay: 0.00726318 | az: 0.0537109
ax: -1.03886 | ay: 0.120895 | az: 0.144089
ax: -1.0961 | ay: 0.885162 | az: 0.319855
ax: -0.856247 | ay: 1.30132 | az: 0.499008
ax: -0.903564 | ay: 0.542908 | az: 0.418488
ax: -0.573578 | ay: 0.90834 | az: -0.224396
ax: -0.457474 | ay: 0.596008 | az: -0.292526
ax: 0.157059 | ay: 0.5009 | az: 0.00442505
ax: 0.172577 | ay: 0.11705 | az: -0.102386
ax: 0.289246 | ay: 0.241684 | az: 0.116516
ax: 0.533142 | ay: 0.63176 | az: 0.397964
ax: 0.498688 | ay: 0.652695 | az: 0.393661
ax: 0.57753 | ay: 0.612579 | az: 0.264114
ax: 0.537506 | ay: 0.484146 | az: 0.187057
ax: 0.476273 | ay: 0.376083 | az: 0.170059
ax: 0.430084 | ay: 0.312332 | az: 0.151382
ax: 0.371521 | ay: 0.284531 | az: 0.105911
ax: 0.243927 | ay: 0.292542 | az: 0.0673523
ax: 0.0264893 | ay: 0.184204 | az: -0.0124512
ax: -0.19313 | ay: 0.0368652 | az: -0.0826874
ax: -0.551926 | ay: -0.301331 | az: -0.216156
ax: -0.794968 | ay: -0.304535 | az: -0.537827
ax: -1.03955 | ay: -0.771973 | az: -0.872604
ax: -1.06824 | ay: -1.3049 | az: -0.981949
ax: -0.700287 | ay: -1.38586 | az: -1.2765
ax: -0.57402 | ay: -1.57118 | az: -1.1049
ax: -0.322098 | ay: -1.7887 | az: -0.777725
ax: -0.0189362 | ay: -1.62801 | az: -0.910156
ax: -0.14711 | ay: -1.27467 | az: -0.530319
ax: -0.218292 | ay: -1.22395 | az: -0.302368
ax: -0.375137 | ay: 1.02078 | az: 1.04361
time: 4
[20210810070413.187]
> sum ax: -8.53137 | sum ay: -2.0585 | sum az: -3.97162
>> avg ax: -0.170627 | avg ay: -0.04117 | avg az: -0.0794324
>>> vx: -0.836074 | vy: -0.201733 | vz: -0.389219
>>> sx: -0.326196 | sy: 0.226829 | sz: 0.00929895
>>> a: 0.192661
>>> v: 0.944038
>>> s: 0.397418

ax: -0.306305 | ay: -0.0843506 | az: 0.381439
ax: -0.645477 | ay: -0.789749 | az: -0.355682
ax: -0.387238 | ay: -0.424652 | az: -0.0571899
ax: 0.0834198 | ay: 0.0523071 | az: -0.585358
ax: -0.191956 | ay: -0.421616 | az: -0.234421
ax: -0.119919 | ay: -0.356781 | az: -0.0172424
ax: -0.0389557 | ay: -0.180328 | az: -0.0510712
ax: -0.0793152 | ay: -0.0874786 | az: -0.102005
ax: -0.0643921 | ay: -0.113068 | az: -0.0833435
ax: -0.0407562 | ay: -0.0523682 | az: -0.0529327
ax: 0.0103912 | ay: 0.0297241 | az: -0.10405
ax: 0.0309296 | ay: 0.0114899 | az: -0.106003
ax: 0.0166626 | ay: -0.0304108 | az: -0.0214386
ax: -0.0188446 | ay: -0.120743 | az: 0.0334167
ax: -0.00946045 | ay: -0.0518951 | az: -0.0166016
ax: -0.000701904 | ay: -0.0338593 | az: -0.0744171
ax: 0.0128937 | ay: -0.0829468 | az: -0.0495911
ax: 0.00804138 | ay: -0.0449219 | az: -0.000488281
ax: -0.0154114 | ay: -0.0350342 | az: -0.00959778
ax: -0.0427551 | ay: -0.0998688 | az: -0.0287018
ax: -0.044632 | ay: -0.118408 | az: -0.0429688
ax: -0.0400391 | ay: -0.0733643 | az: -0.0473785
ax: 0.00161743 | ay: -0.0206909 | az: -0.0396423
ax: -0.0591125 | ay: -0.00369263 | az: -0.0265808
ax: -0.0820923 | ay: -0.0214691 | az: 0.0083313
ax: -0.107544 | ay: -0.00994873 | az: 0.0288086
ax: -0.175156 | ay: 0.0699463 | az: 0.0527649
ax: -0.195221 | ay: -0.0019989 | az: 0.035202
ax: -0.223862 | ay: 0.017868 | az: 0.0278015
ax: -0.298904 | ay: 0.0609131 | az: 0.04422
ax: -0.455292 | ay: 0.0254974 | az: 0.0414276
ax: -0.814667 | ay: -0.0281525 | az: 0.0782013
ax: -1.09789 | ay: 0.559143 | az: 0.270493
ax: -0.843124 | ay: 1.24861 | az: 0.473618
ax: -0.887268 | ay: 0.74826 | az: 0.432068
ax: -0.720703 | ay: 0.458344 | az: 0.0367584
ax: -0.621536 | ay: 0.520401 | az: -0.162918
ax: -0.165543 | ay: 0.588196 | az: -0.20195
ax: 0.329849 | ay: 0.240799 | az: -0.231125
ax: 0.222336 | ay: 0.150467 | az: -0.0279541
ax: 0.463043 | ay: 0.574905 | az: 0.37326
ax: 0.451584 | ay: 0.671402 | az: 0.442444
ax: 0.545059 | ay: 0.584473 | az: 0.300293
ax: 0.535233 | ay: 0.551437 | az: 0.156311
ax: 0.459167 | ay: 0.40123 | az: 0.142456
ax: 0.412384 | ay: 0.308197 | az: 0.162491
ax: 0.32634 | ay: 0.322433 | az: 0.169312
ax: 0.286896 | ay: 0.311142 | az: 0.105499
ax: 0.0941467 | ay: 0.207382 | az: 0.0319519
ax: -0.11351 | ay: 0.0313416 | az: -0.0575104
time: 5
[20210810070414.176]
> sum ax: -4.61758 | sum ay: 5.45811 | sum az: 1.04041
>> avg ax: -0.0923517 | avg ay: 0.109162 | avg az: 0.0208081
>>> vx: -0.452523 | vy: 0.534895 | vz: 0.10196
>>> sx: -0.349478 | sy: -0.0740211 | sz: -0.0740871
>>> a: 0.144493
>>> v: 0.708016
>>> s: 0.364832

ax: 0.0856781 | ay: 0.287003 | az: 0.247101
ax: 0.280975 | ay: 0.357101 | az: 0.473755
ax: 0.387192 | ay: 0.672424 | az: 0.412338
ax: 0.518112 | ay: 0.682556 | az: 0.266754
ax: 0.507751 | ay: 0.587311 | az: 0.237885
ax: 0.438141 | ay: 0.410721 | az: 0.235825
ax: 0.415344 | ay: 0.318207 | az: 0.169357
ax: 0.407776 | ay: 0.270294 | az: 0.094162
ax: 0.341812 | ay: 0.292252 | az: 0.0279694
ax: 0.170715 | ay: 0.186691 | az: -0.00660706
ax: -0.0479279 | ay: -0.0153656 | az: -0.121521
ax: -0.303116 | ay: -0.320618 | az: -0.232193
ax: -0.576035 | ay: -0.471252 | az: -0.456223
ax: -0.866989 | ay: -0.70314 | az: -0.720352
ax: -1.05763 | ay: -1.37666 | az: -0.99588
ax: -0.944214 | ay: -1.61385 | az: -1.09195
ax: -0.653809 | ay: -1.59935 | az: -1.03123
ax: -0.427155 | ay: -1.65596 | az: -0.868347
ax: -0.129776 | ay: -1.86203 | az: -0.862762
ax: -0.134094 | ay: -1.72137 | az: -0.852325
ax: -0.358673 | ay: -0.665817 | az: 0.372452
ax: -0.353348 | ay: 1.2545 | az: 0.986969
ax: -0.358536 | ay: -0.743378 | az: -0.0429077
ax: -0.38089 | ay: -0.208588 | az: -0.371552
ax: -0.0637665 | ay: -0.024353 | az: -0.506454
ax: -0.0711975 | ay: -0.369278 | az: -0.319534
ax: -0.108078 | ay: -0.56781 | az: -0.0881958
ax: -0.176483 | ay: -0.463394 | az: 0.0105896
ax: -0.0766754 | ay: -0.0968018 | az: -0.110443
ax: -0.0271912 | ay: 0.0109863 | az: -0.0467682
ax: -0.0570221 | ay: -0.0341187 | az: -0.0362854
ax: 0.0142365 | ay: 0.00396729 | az: -0.0851135
ax: -0.0096283 | ay: -0.0134735 | az: -0.153015
ax: -0.0196228 | ay: -0.0815125 | az: -0.0793304
ax: -0.0578766 | ay: -0.0852203 | az: 0.0800476
ax: -0.0255585 | ay: -0.0967407 | az: 0.0264282
ax: 0.00186157 | ay: -0.0609283 | az: -0.0800476
ax: 0.0268097 | ay: -0.0183411 | az: -0.0865021
ax: 0.00741577 | ay: -0.0566559 | az: -0.0445709
ax: 0.00590515 | ay: -0.0296783 | az: -0.000823975
ax: -0.00726318 | ay: -0.0463257 | az: -0.0302429
ax: -0.0174408 | ay: -0.0764618 | az: -0.0412445
ax: -0.0012207 | ay: -0.0677338 | az: -0.0505676
ax: -0.0169678 | ay: -0.0864563 | az: -0.0102692
ax: -0.0724792 | ay: -0.0211792 | az: -0.0180206
ax: -0.0853424 | ay: -0.0169525 | az: 0.0127716
ax: -0.102097 | ay: 0.0275726 | az: 0.0305328
ax: -0.212784 | ay: 0.0269928 | az: 0.108795
ax: -0.229324 | ay: -0.0401611 | az: 0.0809174
ax: -0.284012 | ay: 0.00544739 | az: 0.0735931
time: 6
[20210810070416.178]
> sum ax: -4.7045 | sum ay: -9.91693 | sum az: -5.49304
>> avg ax: -0.09409 | avg ay: -0.198339 | avg az: -0.109861
>>> vx: -0.461041 | vy: -0.971859 | vz: -0.538318
>>> sx: -0.158925 | sy: -0.496732 | sz: -0.301473
>>> a: 0.24548
>>> v: 1.20285
>>> s: 0.6024

ax: -0.315887 | ay: 0.0528717 | az: 0.0265045
ax: -0.47551 | ay: 0.139572 | az: 0.0223236
ax: -0.917389 | ay: 0.0850677 | az: 0.025589
