ax: -0.0441284 | ay: -0.593216 | az: -0.383224
ax: -0.0656586 | ay: -0.542068 | az: -0.314438
ax: -0.121521 | ay: -0.515259 | az: -0.24353
ax: -0.121918 | ay: -0.456375 | az: -0.190643
ax: -0.129349 | ay: -0.385468 | az: -0.152756
ax: -0.190491 | ay: -0.281952 | az: -0.123962
ax: -0.241333 | ay: -0.199142 | az: -0.112518
ax: -0.38327 | ay: -0.126266 | az: -0.120636
ax: -0.492523 | ay: -0.00733948 | az: -0.0932617
ax: -0.548431 | ay: 0.110703 | az: -0.0451965
ax: -0.905563 | ay: 0.240021 | az: 0.0043335
ax: -1.00908 | ay: 0.499741 | az: 0.207748
ax: -0.999588 | ay: 0.719177 | az: 0.31134
ax: -0.713776 | ay: 0.802963 | az: 0.298218
ax: -0.687057 | ay: 0.959824 | az: 0.391846
ax: -0.413666 | ay: 1.03603 | az: 0.493301
ax: -0.194473 | ay: 0.712753 | az: 0.376709
ax: -0.216751 | ay: 0.603333 | az: 0.320251
ax: -0.127213 | ay: 0.633926 | az: 0.423935
ax: -0.0310059 | ay: 0.60231 | az: 0.438553
4: [20200915134142.797]
> sum ax: -16.9728 | sum ay: -2.53754 | sum az: -5.34763
>> avg ax: -0.339455 | avg ay: -0.0507507 | avg az: -0.106953
>>> vx: -10.9271 | vy: 2.87275 | vz: -0.254779
>>> sx: -9.20272 | sy: 2.76928 | sz: 0.0533911
>>> a: 0.359506
>>> v: 11.3013
>>> s: 9.61051

ax: 0.0529633 | ay: 0.63591 | az: 0.38208
ax: 0.135834 | ay: 0.789078 | az: 0.379959
ax: 0.188599 | ay: 0.946335 | az: 0.402359
ax: 0.222519 | ay: 0.991486 | az: 0.438095
ax: 0.21698 | ay: 0.930725 | az: 0.431259
ax: 0.147156 | ay: 0.828751 | az: 0.37735
ax: 0.11615 | ay: 0.754562 | az: 0.339081
ax: 0.0574188 | ay: 0.621567 | az: 0.307022
ax: -0.0164948 | ay: 0.481354 | az: 0.24791
ax: -0.10553 | ay: 0.400299 | az: 0.207031
ax: -0.162979 | ay: 0.326126 | az: 0.16124
ax: -0.204376 | ay: 0.236893 | az: 0.0937042
ax: -0.260681 | ay: 0.168274 | az: 0.0263519
ax: -0.326859 | ay: 0.0754547 | az: -0.0274963
ax: -0.43895 | ay: 0.0274506 | az: -0.0689697
ax: -0.549133 | ay: -0.02005 | az: -0.115646
ax: -0.550232 | ay: -0.0911865 | az: -0.146057
ax: -0.47168 | ay: -0.132584 | az: -0.194595
ax: -0.80188 | ay: -0.156967 | az: -0.328003
ax: -1.15154 | ay: -0.206635 | az: -0.368652
ax: -0.998184 | ay: -0.307098 | az: -0.34404
ax: -0.499878 | ay: -0.401428 | az: -0.33667
ax: -0.628494 | ay: -0.42215 | az: -0.306976
ax: -0.55899 | ay: -0.490021 | az: -0.27327
ax: -0.370728 | ay: -0.577362 | az: -0.281158
ax: -0.349976 | ay: -0.642349 | az: -0.356186
ax: -0.297348 | ay: -0.668686 | az: -0.440552
ax: -0.235031 | ay: -0.665863 | az: -0.463913
ax: -0.193863 | ay: -0.705475 | az: -0.459869
ax: -0.113464 | ay: -0.778336 | az: -0.458252
ax: -0.0432587 | ay: -0.776352 | az: -0.437027
ax: -0.0151825 | ay: -0.73584 | az: -0.369537
ax: -0.0419617 | ay: -0.686569 | az: -0.315475
ax: -0.0871277 | ay: -0.658112 | az: -0.290466
ax: -0.0976105 | ay: -0.64061 | az: -0.290222
ax: -0.1353 | ay: -0.630035 | az: -0.317596
ax: -0.168167 | ay: -0.562775 | az: -0.289383
ax: -0.149689 | ay: -0.44574 | az: -0.253586
ax: -0.145401 | ay: -0.407486 | az: -0.226532
ax: -0.154739 | ay: -0.381851 | az: -0.162903
ax: -0.265182 | ay: -0.239868 | az: -0.0778046
ax: -0.349762 | ay: -0.150528 | az: -0.0336761
ax: -0.343262 | ay: -0.0492249 | az: 0.0119019
ax: -0.34552 | ay: 0.0572052 | az: 0.0364532
ax: -0.433517 | ay: 0.159607 | az: 0.0360565
ax: -0.568695 | ay: 0.249298 | az: 0.0340881
ax: -0.950134 | ay: 0.316345 | az: -0.00544739
ax: -1.02196 | ay: 0.492752 | az: 0.160828
ax: -0.995758 | ay: 0.723938 | az: 0.279022
ax: -0.494583 | ay: 0.750946 | az: 0.267471
5: [20200915134143.786]
> sum ax: -14.9555 | sum ay: -1.66682 | sum az: -3.4207
>> avg ax: -0.299109 | avg ay: -0.0333365 | avg az: -0.068414
>>> vx: -13.8584 | vy: 2.54605 | vz: -0.925236
>>> sx: -12.0026 | sy: 3.34189 | sz: -0.287106
>>> a: 0.308639
>>> v: 14.1207
>>> s: 12.4625

