ax: 0 | ay: 0 | az: -1
>>> a: 0.295785
>>> v: 2.8987
>>> s: 1.29838

ax: 0.0197754 | ay: -0.0102692 | az: 0.00730896
ax: 0.0153961 | ay: -0.0493164 | az: 0.0247192
ax: 0.0113831 | ay: 0.0162964 | az: -0.052002
ax: 0.0206909 | ay: 0.0876617 | az: -0.0115967
ax: 0.0659485 | ay: 0.152527 | az: 0.00790405
ax: 0.102829 | ay: 0.0322723 | az: 0.0647736
ax: 0.156265 | ay: -0.00692749 | az: 0.0661774
ax: 0.19725 | ay: -0.142746 | az: 0.0716553
ax: 0.28952 | ay: -0.244919 | az: -0.0582581
ax: 0.412918 | ay: -0.222977 | az: 0.0372314
ax: 0.498947 | ay: -0.221817 | az: 0.11232
ax: 0.579926 | ay: -0.347275 | az: -0.0349121
ax: 0.886459 | ay: -0.431183 | az: -0.128815
ax: 1.05357 | ay: -1.22362 | az: -0.372314
ax: 1.06648 | ay: -2.02289 | az: -0.0740662
ax: 1.07324 | ay: -1.0858 | az: -0.0596161
ax: 1.09825 | ay: -1.26611 | az: -0.784912
ax: 0.31308 | ay: -0.973495 | az: -0.874649
ax: 0.321167 | ay: -0.165054 | az: -0.768906
ax: -0.300568 | ay: 0.688217 | az: -0.0725708
ax: -0.420349 | ay: -0.481079 | az: 0.1147
ax: -0.878983 | ay: -0.727402 | az: 0.159714
ax: -0.640442 | ay: -0.849609 | az: -0.0722656
ax: -0.839874 | ay: -0.730453 | az: -0.00167847
ax: -0.675385 | ay: -0.486572 | az: -0.0736389
ax: -0.583588 | ay: -0.262146 | az: -0.0487671
ax: -0.461029 | ay: -0.0738983 | az: -0.0121307
ax: -0.307312 | ay: 0.0720673 | az: 0.0653076
ax: -0.13118 | ay: 0.132202 | az: 0.0997772
ax: 0.261124 | ay: 0.221313 | az: 0.00668335
ax: 0.788849 | ay: 0.662643 | az: 0.125916
ax: 1.17131 | ay: 1.20174 | az: -0.141022
ax: 1.24728 | ay: 1.8392 | az: -0.0794067
ax: 1.31232 | ay: 2.59799 | az: -0.100525
ax: 0.887253 | ay: 2.74075 | az: -0.78389
ax: 0.971741 | ay: 2.74655 | az: 0.117813
ax: 0.923615 | ay: 2.70981 | az: 0.0833282
ax: 0.590179 | ay: -1.35004 | az: -0.845596
ax: 0.165161 | ay: -0.35408 | az: 1.18103
ax: 0.999786 | ay: 1.80345 | az: 0.423721
ax: 0.636002 | ay: 0.314804 | az: -0.300598
ax: 0.426819 | ay: 1.5341 | az: -0.470993
ax: 0.167343 | ay: 0.885376 | az: 0.216263
ax: 0.188171 | ay: 0.674408 | az: -0.125778
ax: 0.111862 | ay: 0.28302 | az: -0.0376892
ax: 0.123642 | ay: 0.264969 | az: 0.0396423
ax: 0.0671539 | ay: 0.0673065 | az: 0.02034
ax: -0.0148163 | ay: -0.098587 | az: -0.13649
ax: -0.0260773 | ay: 0.0493622 | az: -0.166382
ax: -0.00773621 | ay: 0.119537 | az: -0.126114
time: 4
[20201117134426.272]
