>>> a: 0.262564
>>> v: 2.57313
>>> s: 1.49038

ax: -0.668335 | ay: 1.4725 | az: -0.180511
ax: -0.532883 | ay: 0.740143 | az: -0.412399
ax: 0.120956 | ay: 0.802979 | az: -0.627411
ax: 0.295074 | ay: -0.423477 | az: -0.457443
ax: 0.211121 | ay: 0.421967 | az: -0.101318
ax: 0.516693 | ay: 0.519958 | az: 0.0994415
ax: 0.775574 | ay: 1.08466 | az: 0.0655518
ax: 0.796967 | ay: 0.88176 | az: 0.0690918
ax: 0.768448 | ay: 0.496262 | az: -0.0597687
ax: 0.663773 | ay: 0.390762 | az: -0.0444183
ax: 0.620743 | ay: 0.335846 | az: 0.0774536
ax: 0.533875 | ay: 0.343536 | az: 0.0792999
ax: 0.386368 | ay: 0.294678 | az: 0.00299072
ax: 0.0527954 | ay: 0.0555573 | az: -0.0176849
ax: -0.454971 | ay: -0.280197 | az: 0.080658
ax: -0.863266 | ay: -0.604736 | az: 0.271851
ax: -1.10994 | ay: -1.17871 | az: 0.231583
ax: -1.15704 | ay: -1.89569 | az: 0.276505
ax: -1.19525 | ay: -2.30022 | az: 0.015213
ax: -0.975189 | ay: -2.42914 | az: -0.124146
ax: -0.747925 | ay: -2.51187 | az: 0.281494
ax: -0.957977 | ay: -2.12267 | az: 0.306091
ax: -0.481461 | ay: -1.44321 | az: -0.255386
ax: -0.0685577 | ay: 1.5419 | az: 0.0612335
ax: -0.669861 | ay: -0.941299 | az: 0.655136
ax: -0.688095 | ay: -0.68721 | az: 0.30835
ax: -0.127731 | ay: -0.0457001 | az: 0.161041
ax: -0.264114 | ay: -0.46344 | az: -0.329498
ax: -0.0785675 | ay: -0.377823 | az: -0.10376
ax: -0.0660095 | ay: -0.391022 | az: -0.0486603
ax: -0.149033 | ay: -0.35466 | az: -0.0584564
ax: -0.0898743 | ay: -0.07547 | az: -0.00808716
ax: -0.0487671 | ay: 0.0150299 | az: 0.0115204
ax: -0.0295715 | ay: 0.0372162 | az: -0.0537262
ax: -0.0337524 | ay: 0.00119019 | az: -0.0350037
ax: 0.024765 | ay: 0.00794983 | az: -0.0345917
ax: 0.0442352 | ay: 0.0265198 | az: -0.0310059
ax: 0.0361328 | ay: 0.0223999 | az: 0.0432739
ax: -0.00907898 | ay: 0.0632019 | az: 0.0808258
ax: -0.0173798 | ay: 0.0502777 | az: 0.0497742
ax: 0.00088501 | ay: -0.0420532 | az: -0.0135193
ax: -0.00738525 | ay: -0.0289612 | az: 0.0278625
ax: -0.0556183 | ay: 0.00881958 | az: 0.0440979
ax: -0.0699768 | ay: 0.0325775 | az: 0.0799713
ax: -0.0894012 | ay: 0.0110016 | az: 0.039917
ax: -0.0724792 | ay: 0.0344391 | az: 0.017334
ax: -0.126526 | ay: 0.0843048 | az: 0.0112
ax: -0.207642 | ay: 0.137833 | az: 0.0296936
ax: -0.292038 | ay: 0.164749 | az: 0.135269
ax: -0.378632 | ay: 0.228638 | az: 0.171219
time: 5
[20201201132631.520]
> sum ax: -6.93593 | sum ay: -8.28889 | sum az: 0.788147
>> avg ax: -0.138719 | avg ay: -0.165778 | avg az: 0.0157629
>>> vx: -1.35944 | vy: -1.62462 | vz: 0.154477
>>> sx: -0.50791 | sy: -0.622651 | sz: -0.0697327
>>> a: 0.216734
>>> v: 2.12399
>>> s: 0.806554

ax: -0.385986 | ay: 0.209595 | az: 0.0505676
ax: -0.716064 | ay: 0.268463 | az: -0.269699
ax: -1.07188 | ay: 0.141983 | az: -0.432556
ax: -1.08464 | ay: 1.30518 | az: -0.8582
ax: -1.09721 | ay: 1.48366 | az: 0.2444
ax: -0.653641 | ay: 1.42714 | az: -0.119598
ax: -0.615219 | ay: 0.900421 | az: -0.63179
ax: -0.0706329 | ay: 0.655502 | az: -0.630234
ax: 0.446548 | ay: -0.415558 | az: -0.359589
ax: 0.190536 | ay: 0.194733 | az: -0.120224
ax: 0.455856 | ay: 0.514938 | az: 0.141663
ax: 0.691315 | ay: 0.979172 | az: 0.148987
ax: 0.820328 | ay: 0.984039 | az: 0.0913849
ax: 0.7453 | ay: 0.608444 | az: -0.0394592
ax: 0.715775 | ay: 0.31813 | az: -0.0278778
ax: 0.650299 | ay: 0.187286 | az: 0.0684662
ax: 0.598206 | ay: 0.170166 | az: 0.0484467
ax: 0.441025 | ay: 0.26268 | az: -0.0509796
ax: 0.155487 | ay: 0.193024 | az: -0.137863
ax: -0.331757 | ay: -0.149704 | az: -0.17807
ax: -0.837601 | ay: -0.69313 | az: -0.0542603
ax: -1.09666 | ay: -1.25508 | az: -0.000518799
ax: -1.14304 | ay: -1.83998 | az: 0.113815
ax: -1.18263 | ay: -2.28769 | az: 0.0641785
ax: -0.918915 | ay: -2.16388 | az: -0.0369415
ax: -0.676071 | ay: -2.32478 | az: 0.0491028
ax: -0.612457 | ay: -2.03236 | az: 0.510056
ax: -0.506943 | ay: -1.63647 | az: 0.338913
ax: -0.41333 | ay: 1.54204 | az: 0.256699
ax: -0.734924 | ay: -0.750839 | az: 0.643341
ax: -0.428024 | ay: -0.470337 | az: -0.0325775
ax: -0.157578 | ay: -0.00325012 | az: -0.0767975
ax: -0.170731 | ay: -0.516541 | az: -0.367737
ax: -0.11351 | ay: -0.544327 | az: 0.0579834
ax: -0.161346 | ay: -0.468536 | az: 0.0888062
ax: -0.109009 | ay: -0.18924 | az: 0.126175
ax: -0.0878754 | ay: -0.112 | az: 0.103073
ax: -0.0398712 | ay: -0.0010376 | az: 0.010437
ax: -0.026825 | ay: -0.0812073 | az: -0.0809784
ax: -0.00823975 | ay: -0.0712433 | az: -0.0535889
ax: -0.0252686 | ay: -0.0559387 | az: -0.0699615
ax: -0.000549316 | ay: 0.00187683 | az: -0.00585938
ax: 0.0130463 | ay: 0.0907288 | az: 0.0471649
ax: 0.013382 | ay: 0.0616302 | az: 0.0197906
ax: -0.00132751 | ay: -0.00241089 | az: -0.0196686
ax: -0.00994873 | ay: 0.0384979 | az: -0.0108185
ax: -0.0516205 | ay: 0.0399933 | az: 0.0830688
ax: -0.0540466 | ay: 0.0306549 | az: 0.0679321
ax: -0.090744 | ay: -0.0386505 | az: 0.0649567
ax: -0.0702209 | ay: -0.0341644 | az: 0.028656
time: 6
[20201201132632.519]
> sum ax: -9.81924 | sum ay: -5.5284 | sum az: -1.19778
>> avg ax: -0.196385 | avg ay: -0.110568 | avg az: -0.0239557
>>> vx: -1.92457 | vy: -1.08357 | vz: -0.234766
>>> sx: -1.15406 | sy: 0.162321 | sz: -0.381531
>>> a: 0.226641
>>> v: 2.22108
>>> s: 1.22628

ax: -0.102356 | ay: 0.0182648 | az: 0.0105591
ax: -0.143158 | ay: 0.0658417 | az: 0.0404968
ax: -0.204498 | ay: 0.147461 | az: 0.043045
ax: -0.284088 | ay: 0.132812 | az: 0.0640564
ax: -0.368958 | ay: 0.174072 | az: 0.0633545
ax: -0.431458 | ay: 0.215652 | az: 0.0807953
ax: -0.548843 | ay: 0.236404 | az: -0.0401917
ax: -0.896622 | ay: 0.137589 | az: -0.141846
ax: -1.07768 | ay: 0.684677 | az: -0.442734
ax: -1.09155 | ay: 1.63499 | az: -0.290665
ax: -1.00665 | ay: 1.64392 | az: 0.443115
ax: -1.0119 | ay: 0.869476 | az: -0.214401
ax: -0.349411 | ay: 1.17535 | az: -1.03818
ax: 0.270142 | ay: 0.406189 | az: -0.71254
ax: 0.317841 | ay: -0.439178 | az: -0.373627
ax: 0.497055 | ay: 0.178452 | az: -0.0181122
ax: 0.674149 | ay: 0.345703 | az: 0.068573
ax: 0.915665 | ay: 0.958176 | az: 0.039505
ax: 0.880753 | ay: 0.887344 | az: 0.0295105
ax: 0.832809 | ay: 0.546494 | az: -0.0711823
ax: 0.768814 | ay: 0.371323 | az: -0.0632629
ax: 0.686401 | ay: 0.288727 | az: -0.0101166
ax: 0.48349 | ay: 0.186798 | az: 0.0318756
ax: 0.312347 | ay: 0.147278 | az: -0.0781403
ax: -0.127258 | ay: 0.128265 | az: -0.0954437
ax: -0.558167 | ay: -0.128983 | az: 0.0832672
ax: -1.03003 | ay: -0.693741 | az: 0.0724792
ax: -1.12334 | ay: -1.44193 | az: 0.00706482
ax: -1.16975 | ay: -2.33833 | az: -0.0937958
ax: -1.17415 | ay: -2.52959 | az: -0.169083
ax: -0.738281 | ay: -2.54201 | az: 0.143173
ax: -0.625275 | ay: -2.21542 | az: 0.598831
ax: -0.570709 | ay: -1.57416 | az: 0.522247
ax: -0.272476 | ay: 0.633545 | az: -0.419662
ax: -0.253708 | ay: 1.53453 | az: 0.507599
ax: -0.840607 | ay: -0.607239 | az: 1.09187
ax: -0.47168 | ay: -0.460159 | az: 0.074707
ax: -0.224579 | ay: -0.538635 | az: 0.131744
ax: -0.101288 | ay: -0.415985 | az: -0.243073
ax: -0.20488 | ay: -0.528503 | az: -0.0352783
ax: -0.184998 | ay: -0.377228 | az: 0.0188599
ax: -0.176514 | ay: -0.395172 | az: -0.0119781
ax: -0.066803 | ay: -0.055191 | az: 0.0435028
ax: -0.0570831 | ay: -0.00508118 | az: 0.0592346
ax: 0.00730896 | ay: -0.0536041 | az: 0.00614929
ax: -0.00483704 | ay: -0.0491028 | az: -0.0157471
ax: 0.0111389 | ay: -0.0565643 | az: -0.0411682
ax: 0.0315247 | ay: 0.0240326 | az: 0.0435486
ax: -0.0138245 | ay: -0.0224304 | az: 0.0337524
ax: -0.0529938 | ay: -0.0173492 | az: 0.067749
time: 7
[20201201132633.514]
> sum ax: -10.871 | sum ay: -3.7122 | sum az: -0.199554
>> avg ax: -0.217419 | avg ay: -0.0742441 | avg az: -0.00399109
>>> vx: -2.13071 | vy: -0.727591 | vz: -0.0391127
>>> sx: -1.17686 | sy: 0.518785 | sz: -0.22956
>>> a: 0.229781
>>> v: 2.25185
>>> s: 1.30646

ax: -0.0593109 | ay: -0.0366821 | az: 0.0410767
ax: -0.0430908 | ay: -0.045105 | az: 0.0682526
ax: -0.0464478 | ay: -0.0165558 | az: 0.0582733
ax: -0.0818176 | ay: -0.0400543 | az: 0.0859222
ax: -0.0796204 | ay: -0.0166321 | az: 0.0639648
ax: -0.057785 | ay: -0.0492706 | az: 0.0423737
ax: -0.109512 | ay: 0.032074 | az: 0.0355377
ax: -0.147034 | ay: 0.140305 | az: 0.0915222
ax: -0.241745 | ay: 0.125717 | az: 0.00570679
ax: -0.314682 | ay: 0.134369 | az: 0.0772858
ax: -0.34613 | ay: 0.171844 | az: 0.0608978
ax: -0.36084 | ay: 0.210709 | az: 0.0182495
ax: -0.557648 | ay: 0.20871 | az: -0.0776672
ax: -1.08153 | ay: 0.286835 | az: -0.182968
ax: -1.09364 | ay: 1.30519 | az: -0.740005
ax: -1.10806 | ay: 1.59813 | az: 0.0576477
ax: -1.12704 | ay: 1.11162 | az: -0.169601
ax: -0.715103 | ay: 0.941269 | az: -0.45015
ax: -0.165085 | ay: 0.329041 | az: -0.329483
ax: 0.392014 | ay: -0.161011 | az: -0.331879
ax: 0.259354 | ay: -0.055954 | az: -0.229553
ax: 0.656296 | ay: 0.471085 | az: 0.0307922
ax: 0.738525 | ay: 0.880478 | az: 0.0662842
ax: 0.871323 | ay: 0.888412 | az: 0.0824738
ax: 0.743469 | ay: 0.558136 | az: 0.0157776
ax: 0.749374 | ay: 0.452972 | az: -0.0279999
ax: 0.704056 | ay: 0.325974 | az: 0.0305023
ax: 0.616608 | ay: 0.370636 | az: 0.0308075
ax: 0.495346 | ay: 0.228516 | az: 0.0367432
ax: 0.137131 | ay: 0.185715 | az: 0.006073
ax: -0.216522 | ay: -0.214325 | az: -0.0815735
ax: -0.774643 | ay: -0.462936 | az: -0.00952148
ax: -1.07829 | ay: -0.872894 | az: 0.0141602
ax: -1.12442 | ay: -1.78256 | az: 0.0231018
ax: -1.16599 | ay: -2.44316 | az: -0.0397339
ax: -1.06882 | ay: -2.52531 | az: -0.141434
ax: -0.604568 | ay: -2.41481 | az: 0.115051
ax: -0.507324 | ay: -2.04344 | az: 0.234314
ax: -0.517838 | ay: -1.49068 | az: 0.224792
ax: -0.403824 | ay: -0.203079 | az: 0.0955811
ax: 0.143829 | ay: 1.56761 | az: 0.384628
ax: -0.817123 | ay: -1.66808 | az: 0.552567
ax: -0.335693 | ay: -0.230103 | az: 0.0304718
ax: -0.283203 | ay: -0.430634 | az: -0.208252
ax: -0.276581 | ay: -0.529266 | az: -0.338577
ax: -0.0533295 | ay: -0.443726 | az: 0.0455627
ax: -0.128464 | ay: -0.20401 | az: 0.138718
ax: -0.0554962 | ay: -0.225815 | az: 0.0213928
ax: -0.053894 | ay: 0.0396423 | az: 0.171295
ax: -0.0583344 | ay: 0.00440979 | az: 0.00605774
time: 8
[20201201132634.512]
> sum ax: -10.7532 | sum ay: -6.0367 | sum az: -0.29454
>> avg ax: -0.215063 | avg ay: -0.120734 | avg az: -0.00589081
>>> vx: -2.10762 | vy: -1.18319 | vz: -0.0577299
>>> sx: -0.98522 | sy: 0.406339 | sz: -0.138101
>>> a: 0.246705
>>> v: 2.41771
>>> s: 1.07464

ax: -0.0140686 | ay: -0.113464 | az: -0.0986938
ax: 0.0191345 | ay: -0.0700836 | az: -0.0532684
ax: 0.00778198 | ay: -0.0796509 | az: -0.0399628
ax: 0.0133667 | ay: 0.0400085 | az: 0.112015
ax: -0.0163422 | ay: 0.00454712 | az: 0.105438
ax: -0.0286255 | ay: -0.0287628 | az: 0.0481415
ax: -0.0335846 | ay: -0.000686646 | az: 0.0017395
ax: -0.0326996 | ay: -0.037796 | az: 0.0487518
ax: -0.0410004 | ay: 0.00395203 | az: 0.0173492
ax: -0.0401001 | ay: 0.00630188 | az: 0.0588074
ax: -0.0488281 | ay: 0.0124359 | az: 0.0402222
ax: -0.0761871 | ay: -0.0231323 | az: -0.0232391
ax: -0.078598 | ay: -0.0368195 | az: -0.0536957
ax: -0.115494 | ay: 0.0747986 | az: 0.0694122
ax: -0.211685 | ay: 0.129303 | az: 0.115082
ax: -0.291321 | ay: 0.137848 | az: 0.0855255
ax: -0.36853 | ay: 0.2285 | az: 0.152069
ax: -0.364563 | ay: 0.243683 | az: 0.0112
ax: -0.531586 | ay: 0.220032 | az: -0.15451
ax: -0.979507 | ay: 0.344254 | az: -0.191452
ax: -1.08099 | ay: 0.708344 | az: -0.517166
ax: -1.09814 | ay: 1.31337 | az: -0.585693
ax: -1.01595 | ay: 1.49379 | az: 0.270523
ax: -0.676666 | ay: 1.24796 | az: -0.0907898
ax: -0.24942 | ay: 1.0712 | az: -0.97258
ax: 0.365021 | ay: 0.211273 | az: -0.619293
ax: 0.283768 | ay: -0.643143 | az: -0.284454
ax: 0.70491 | ay: 0.0363464 | az: 0.18425
ax: 0.853226 | ay: 0.659363 | az: 0.0788574
ax: 0.852798 | ay: 1.10246 | az: 0.102631
