ax: 0.471069 | ay: 0.609482 | az: 0.392044
ax: 0.546539 | ay: 0.649307 | az: 0.313873
ax: 0.612549 | ay: 0.559906 | az: 0.191772
ax: 0.586227 | ay: 0.408569 | az: 0.164642
ax: 0.541992 | ay: 0.270615 | az: 0.158554
ax: 0.49086 | ay: 0.17334 | az: 0.131363
ax: 0.450592 | ay: 0.182495 | az: 0.0952454
ax: 0.339279 | ay: 0.158447 | az: 0.104416
ax: 0.153625 | ay: 0.115173 | az: 0.0565338
ax: -0.125916 | ay: -0.0209503 | az: -0.10556
ax: -0.462234 | ay: -0.351776 | az: -0.200531
ax: -0.804535 | ay: -0.717209 | az: -0.335495
ax: -1.08528 | ay: -1.10974 | az: -0.629425
ax: -1.1266 | ay: -1.5874 | az: -0.80687
ax: -1.03055 | ay: -1.62331 | az: -0.907181
ax: -0.758743 | ay: -1.6969 | az: -1.03458
ax: -0.467346 | ay: -1.97206 | az: -0.932022
ax: -0.313492 | ay: -2.16252 | az: -0.897614
ax: -0.277008 | ay: -1.49776 | az: -0.742188
ax: -0.407059 | ay: 1.46744 | az: 1.13387
ax: -0.363113 | ay: -0.107788 | az: 0.573425
ax: -0.665161 | ay: -0.661316 | az: -0.0839233
ax: -0.426819 | ay: -0.321991 | az: 0.0159302
ax: -0.0230865 | ay: -0.326706 | az: -0.470093
ax: -0.159302 | ay: -0.303604 | az: -0.669754
ax: -0.161987 | ay: -0.406494 | az: -0.139221
ax: -0.162079 | ay: -0.396515 | az: -0.0836792
ax: -0.0907745 | ay: -0.151779 | az: -0.0498047
ax: -0.0748444 | ay: -0.136795 | az: -0.0602722
ax: -0.0640411 | ay: -0.0722504 | az: -0.0822601
ax: -0.00271606 | ay: 0.00897217 | az: -0.0758972
ax: -0.00384521 | ay: -0.000305176 | az: -0.12796
ax: -0.0133209 | ay: -0.0599823 | az: -0.0301208
ax: -0.0105133 | ay: -0.107971 | az: 0.0451508
ax: -0.0123138 | ay: -0.0867004 | az: -0.00242615
ax: 0.0169525 | ay: -0.0869598 | az: -0.0674286
ax: -0.0059967 | ay: -0.103317 | az: -0.0773163
ax: -0.030014 | ay: -0.132263 | az: -0.0205994
ax: -0.00733948 | ay: -0.105316 | az: -0.0104828
ax: 0.00605774 | ay: -0.0606079 | az: 0.0125885
ax: -0.0175476 | ay: -0.0876312 | az: 0.00283813
ax: -0.0102386 | ay: -0.0898895 | az: 0.00332642
ax: -0.00965881 | ay: -0.0923309 | az: -0.00267029
ax: -0.0588226 | ay: -0.0641632 | az: 0.00619507
ax: -0.085907 | ay: -0.0131836 | az: 0.0559387
ax: -0.156616 | ay: 0.0421906 | az: 0.0105591
ax: -0.190247 | ay: -0.0218353 | az: 0.0787811
ax: -0.227402 | ay: -0.0075531 | az: 0.115189
time: 4
[20210722073753.274]
> sum ax: -5.55338 | sum ay: -12.1866 | sum az: -4.93883
>> avg ax: -0.111068 | avg ay: -0.243733 | avg az: -0.0987765
>>> vx: -0.544231 | vy: -1.19429 | vz: -0.484005
>>> sx: -0.198175 | sy: -0.634683 | sz: -0.273379
>>> a: 0.285479
>>> v: 1.39885
>>> s: 0.71891

ax: -0.280258 | ay: 0.045105 | az: 0.16153
ax: -0.391006 | ay: 0.116394 | az: 0.0970306
ax: -0.657562 | ay: 0.154022 | az: 0.0405579
ax: -1.07829 | ay: 0.508011 | az: 0.0857849
ax: -1.08987 | ay: 1.51735 | az: 0.361847
ax: -1.10194 | ay: 0.708023 | az: 0.384003
ax: -0.961288 | ay: 0.37561 | az: 0.317123
ax: -0.799072 | ay: 1.08276 | az: -0.190903
ax: -0.262497 | ay: 1.06284 | az: -0.229248
ax: 0.494049 | ay: 0.0505981 | az: -0.00250244
ax: 0.184738 | ay: -0.196426 | az: -0.296555
ax: 0.278076 | ay: 0.65242 | az: 0.452423
ax: 0.51564 | ay: 0.752808 | az: 0.4785
ax: 0.58136 | ay: 0.621964 | az: 0.339401
ax: 0.606628 | ay: 0.444351 | az: 0.206009
ax: 0.595535 | ay: 0.313492 | az: 0.123306
ax: 0.57132 | ay: 0.174393 | az: 0.0927429
