ax: 0 | ay: 0 | az: -1
ax: 0.0331726 | ay: 0.785629 | az: -0.466385
ax: 0.151764 | ay: 0.763992 | az: -0.46727
ax: 0.169434 | ay: 0.741806 | az: -0.411179
ax: 0.17067 | ay: 0.624054 | az: -0.322891
ax: 0.22818 | ay: 0.439224 | az: -0.266739
ax: 0.340546 | ay: 0.263855 | az: -0.230011
ax: 0.427139 | ay: 0.0718079 | az: -0.159088
ax: 0.461227 | ay: -0.0610046 | az: -0.0327454
ax: 0.516144 | ay: -0.155426 | az: 0.0662537
ax: 0.773514 | ay: -0.226395 | az: 0.00460815
ax: 1.02789 | ay: -0.402237 | az: 0.0195923
ax: 1.04128 | ay: -0.65123 | az: 0.109222
ax: 0.997574 | ay: -0.789444 | az: 0.213928
ax: 0.903275 | ay: -0.91394 | az: 0.402939
ax: 0.677719 | ay: -0.924438 | az: 0.614441
ax: 0.528122 | ay: -0.753403 | az: 0.631882
ax: 0.431808 | ay: -0.657181 | az: 0.524078
ax: 0.301254 | ay: -0.590302 | az: 0.529053
ax: 0.135452 | ay: -0.567032 | az: 0.554901
ax: -0.00906372 | ay: -0.5867 | az: 0.534317
ax: -0.0883636 | ay: -0.675995 | az: 0.505875
ax: -0.133102 | ay: -0.726822 | az: 0.486481
ax: -0.17836 | ay: -0.742294 | az: 0.475647
ax: -0.204391 | ay: -0.706406 | az: 0.459854
ax: -0.207748 | ay: -0.643341 | az: 0.459244
ax: -0.171356 | ay: -0.604767 | az: 0.466293
ax: -0.116302 | ay: -0.543289 | az: 0.448944
ax: -0.0636292 | ay: -0.478699 | az: 0.416534
ax: -0.00775146 | ay: -0.424088 | az: 0.418259
ax: 0.0422516 | ay: -0.372589 | az: 0.351151
ax: 0.0910034 | ay: -0.32843 | az: 0.271866
ax: 0.162857 | ay: -0.285919 | az: 0.184402
ax: 0.239609 | ay: -0.285034 | az: 0.0888977
ax: 0.340988 | ay: -0.208923 | az: 0.0435486
ax: 0.419998 | ay: -0.110306 | az: -0.0190582
ax: 0.491318 | ay: -0.0474854 | az: -0.121246
ax: 0.757721 | ay: -0.0567627 | az: -0.235306
ax: 1.08319 | ay: -0.190094 | az: -0.304184
ax: 0.778015 | ay: 0.298859 | az: -0.080658
ax: 0.62558 | ay: 0.237473 | az: -0.261292
ax: 0.430511 | ay: 0.2397 | az: -0.384109
ax: 0.644333 | ay: 0.436264 | az: -0.536011
ax: 0.751678 | ay: 0.432632 | az: -0.580276
ax: 0.738693 | ay: 0.426636 | az: -0.58429
ax: 0.63176 | ay: 0.376434 | az: -0.53656
ax: 0.438751 | ay: 0.323151 | az: -0.530167
ax: 0.275665 | ay: 0.346176 | az: -0.53421
ax: 0.143494 | ay: 0.434433 | az: -0.553207
4: [20200927201918.260]
> sum ax: 17.2047 | sum ay: -5.91435 | sum az: 0.612152
>> avg ax: 0.344093 | avg ay: -0.118287 | avg az: 0.012243
>>> vx: 3.37211 | vy: -1.15921 | vz: 0.119982
