ax: -0.844574 | ay: 0.0628815 | az: 0.0588074
ax: -0.376831 | ay: 0.108444 | az: 0.00846863
ax: -0.392944 | ay: 0.175034 | az: -0.0410767
ax: -0.50238 | ay: 0.323456 | az: 0.0512695
ax: -0.573425 | ay: 0.450928 | az: 0.330536
ax: -0.835297 | ay: 0.572418 | az: 0.540573
ax: -0.903564 | ay: 0.87178 | az: 0.509903
ax: -0.590836 | ay: 0.9366 | az: 0.415482
ax: -0.320877 | ay: 0.720566 | az: 0.446014
ax: -0.145554 | ay: 0.495071 | az: 0.565079
ax: -0.0170746 | ay: 0.395035 | az: 0.622833
3: [20200921193235.626]
> sum ax: -18.3295 | sum ay: -4.31184 | sum az: -0.164856
>> avg ax: -0.366589 | avg ay: -0.0862369 | avg az: -0.00329712
>>> vx: -0.889588 | vy: -0.154313 | vz: 0.24804
>>> sx: -0.691881 | sy: -0.110251 | sz: 0.247544
>>> a: 0.37661
>>> v: 0.936325
>>> s: 0.743056

ax: 0.0928192 | ay: 0.483932 | az: 0.575684
ax: 0.148361 | ay: 0.644653 | az: 0.56459
ax: 0.204742 | ay: 0.806473 | az: 0.608109
ax: 0.199814 | ay: 0.876129 | az: 0.611954
ax: 0.174637 | ay: 0.853149 | az: 0.607971
ax: 0.136108 | ay: 0.80191 | az: 0.560104
ax: 0.0882874 | ay: 0.673706 | az: 0.523743
ax: 0.00109863 | ay: 0.541504 | az: 0.484024
ax: -0.0882874 | ay: 0.437256 | az: 0.439423
ax: -0.164948 | ay: 0.385895 | az: 0.388321
ax: -0.2603 | ay: 0.340729 | az: 0.300217
ax: -0.317154 | ay: 0.299469 | az: 0.228653
ax: -0.35025 | ay: 0.224243 | az: 0.163986
ax: -0.339401 | ay: 0.120758 | az: 0.0823975
ax: -0.310776 | ay: 0.0381317 | az: 0.0310974
ax: -0.238297 | ay: -0.0406189 | az: -0.00236511
ax: -0.13002 | ay: -0.103378 | az: -0.0535278
ax: -0.536209 | ay: -0.137817 | az: -0.0930939
ax: -1.0578 | ay: -0.0898132 | az: -0.0996246
ax: -1.1718 | ay: -0.14296 | az: -0.183487
ax: -1.01006 | ay: -0.251389 | az: -0.260849
ax: -0.619476 | ay: -0.335205 | az: -0.351105
ax: -0.461761 | ay: -0.402481 | az: -0.388458
ax: -0.352768 | ay: -0.469864 | az: -0.391586
ax: -0.228394 | ay: -0.536484 | az: -0.356339
ax: -0.163162 | ay: -0.579498 | az: -0.345383
ax: -0.141983 | ay: -0.602585 | az: -0.32991
ax: -0.144089 | ay: -0.632584 | az: -0.333664
ax: -0.175995 | ay: -0.652374 | az: -0.38739
ax: -0.209839 | ay: -0.668213 | az: -0.422455
ax: -0.214493 | ay: -0.688293 | az: -0.429794
ax: -0.207291 | ay: -0.714035 | az: -0.43512
ax: -0.191971 | ay: -0.716736 | az: -0.418732
ax: -0.208801 | ay: -0.703842 | az: -0.401703
ax: -0.197632 | ay: -0.670471 | az: -0.378296
ax: -0.21994 | ay: -0.644363 | az: -0.362808
ax: -0.192551 | ay: -0.605362 | az: -0.321442
ax: -0.192978 | ay: -0.557526 | az: -0.304474
ax: -0.224091 | ay: -0.520355 | az: -0.26062
ax: -0.252106 | ay: -0.448608 | az: -0.205521
ax: -0.27594 | ay: -0.378036 | az: -0.127045
ax: -0.264114 | ay: -0.285461 | az: -0.0478668
ax: -0.27562 | ay: -0.223953 | az: -0.0112305
ax: -0.469437 | ay: -0.185669 | az: -0.0710449
ax: -0.768539 | ay: -0.0431213 | az: -0.0665436
ax: -0.743164 | ay: 0.0986786 | az: -0.0327911
ax: -0.701752 | ay: 0.169922 | az: -0.0503235
ax: -0.638672 | ay: 0.289276 | az: -0.0410156
ax: -0.559891 | ay: 0.447617 | az: 0.180054
ax: -0.549988 | ay: 0.581039 | az: 0.435791
4: [20200921193236.630]
> sum ax: -14.7759 | sum ay: -3.91663 | sum az: -1.17949
>> avg ax: -0.295517 | avg ay: -0.0783325 | avg az: -0.0235898
>>> vx: -1.18511 | vy: -0.232645 | vz: 0.22445
>>> sx: -0.999655 | sy: -0.119004 | sz: 0.293635
>>> a: 0.306632
>>> v: 1.2284
>>> s: 1.04866

ax: -0.538956 | ay: 0.675903 | az: 0.540741
ax: -0.40004 | ay: 0.77066 | az: 0.477737
ax: -0.201431 | ay: 0.74733 | az: 0.43721
ax: -0.0763092 | ay: 0.649002 | az: 0.452606
ax: -0.0318604 | ay: 0.571838 | az: 0.457855
ax: 0.00175476 | ay: 0.512589 | az: 0.457153
ax: -0.00559998 | ay: 0.536758 | az: 0.489822
ax: 0.00772095 | ay: 0.646332 | az: 0.490097
ax: 0.0730438 | ay: 0.672287 | az: 0.516251
ax: 0.105682 | ay: 0.739548 | az: 0.550064
ax: 0.121902 | ay: 0.736526 | az: 0.553818
ax: 0.113083 | ay: 0.732788 | az: 0.524582
ax: 0.0910645 | ay: 0.694977 | az: 0.482132
ax: 0.0314941 | ay: 0.654282 | az: 0.417175
ax: -0.014328 | ay: 0.581757 | az: 0.365311
ax: -0.0577698 | ay: 0.507812 | az: 0.328094
ax: -0.148438 | ay: 0.44429 | az: 0.258102
ax: -0.231277 | ay: 0.360229 | az: 0.185776
ax: -0.262802 | ay: 0.27269 | az: 0.126968
ax: -0.316269 | ay: 0.17012 | az: 0.06987
ax: -0.312485 | ay: 0.084259 | az: 0.0191803
ax: -0.366928 | ay: 0.0327148 | az: -0.0423279
ax: -0.980347 | ay: 0.0305023 | az: -0.0070343
ax: -0.947617 | ay: -0.0189514 | az: -0.0527496
ax: -0.527328 | ay: -0.145645 | az: -0.156082
ax: -0.755859 | ay: -0.210556 | az: -0.252823
ax: -0.643677 | ay: -0.267975 | az: -0.26535
ax: -0.692764 | ay: -0.371933 | az: -0.264481
ax: -0.664993 | ay: -0.434814 | az: -0.304596
ax: -0.551666 | ay: -0.503082 | az: -0.368408
ax: -0.454575 | ay: -0.534271 | az: -0.404373
ax: -0.346909 | ay: -0.593399 | az: -0.416748
ax: -0.232056 | ay: -0.664719 | az: -0.442657
ax: -0.128006 | ay: -0.728622 | az: -0.449509
ax: -0.114365 | ay: -0.762344 | az: -0.440491
ax: -0.138031 | ay: -0.778549 | az: -0.431564
ax: -0.131897 | ay: -0.75238 | az: -0.413818
ax: -0.117172 | ay: -0.719421 | az: -0.413132
ax: -0.127533 | ay: -0.701324 | az: -0.407898
ax: -0.130737 | ay: -0.697586 | az: -0.41127
ax: -0.172241 | ay: -0.672165 | az: -0.395279
ax: -0.200668 | ay: -0.656479 | az: -0.375168
ax: -0.189575 | ay: -0.602371 | az: -0.334229
ax: -0.173401 | ay: -0.545044 | az: -0.273071
ax: -0.161728 | ay: -0.472122 | az: -0.224442
ax: -0.190186 | ay: -0.400314 | az: -0.157074
ax: -0.178848 | ay: -0.308838 | az: -0.0805664
ax: -0.236481 | ay: -0.250214 | az: -0.0779419
ax: -0.617188 | ay: -0.205582 | az: -0.141937
ax: -1.02603 | ay: 0.00820923 | az: -0.0949249
5: [20200921193237.629]
> sum ax: -13.2506 | sum ay: -1.1653 | sum az: 0.100601
>> avg ax: -0.265013 | avg ay: -0.023306 | avg az: 0.00201202
>>> vx: -1.45012 | vy: -0.255951 | vz: 0.226462
>>> sx: -1.29735 | sy: -0.10839 | sz: 0.313688
>>> a: 0.266043
>>> v: 1.48985
>>> s: 1.33913

ax: -0.943832 | ay: 0.177597 | az: -0.042511
ax: -0.692322 | ay: 0.236313 | az: -0.0284424
ax: -0.478882 | ay: 0.361053 | az: 0.0639801
ax: -0.333023 | ay: 0.470367 | az: 0.313293
ax: -0.418732 | ay: 0.483856 | az: 0.52504
ax: -0.485092 | ay: 0.536346 | az: 0.528732
ax: -0.391998 | ay: 0.671448 | az: 0.452133
