ax: 0.00828552 | ay: -0.00050354 | az: 0.00038147
ax: 0.00141907 | ay: -0.00338745 | az: -0.00938416
ax: -0.00100708 | ay: -0.00286865 | az: 0.00379944
ax: 0.00956726 | ay: 0.00250244 | az: -0.0108643
ax: 0.000320435 | ay: 0.00479126 | az: -0.00305176
ax: 0.00558472 | ay: -0.000595093 | az: -0.000610352
ax: -0.00170898 | ay: -0.000137329 | az: 0.00280762
ax: -0.000656128 | ay: 0.00132751 | az: -0.0181885
ax: 0.00605774 | ay: -0.00250244 | az: -0.00158691
ax: 0.00166321 | ay: 0.00378418 | az: -0.00697327
ax: 0.00401306 | ay: -0.00300598 | az: -0.0157623
ax: 0.00912476 | ay: -0.00198364 | az: -0.00405884
ax: 0.00549316 | ay: -0.00389099 | az: -0.00163269
ax: -0.00038147 | ay: 7.62939e-05 | az: -0.0148163
ax: 0.00202942 | ay: -0.000366211 | az: -0.0040741
ax: 0.00192261 | ay: 0.003479 | az: -0.00115967
ax: 0.000930786 | ay: 0.0043335 | az: -0.00312805
ax: -0.00527954 | ay: -0.00146484 | az: -0.00799561
ax: 0.00102234 | ay: 0.00579834 | az: 0.00128174
ax: -0.00189209 | ay: -0.00956726 | az: -0.0104218
ax: -0.00949097 | ay: 0.00259399 | az: -0.0143127
ax: 0.000396729 | ay: -0.00271606 | az: -0.00648499
ax: -0.00144958 | ay: 0.00166321 | az: -0.015274
ax: 0.00144958 | ay: -0.00315857 | az: -0.00160217
ax: 0.00192261 | ay: 0.000305176 | az: -0.00257874
ax: 0.00570679 | ay: -0.00398254 | az: -0.00111389
ax: 0.00128174 | ay: 0.00186157 | az: -0.0113678
3: [20200915132120.373]
> sum ax: 0.0514221 | sum ay: -0.0101929 | sum az: -0.261642
>> avg ax: 0.00102844 | avg ay: -0.000203857 | avg az: -0.00523285
>>> vx: 0.0190419 | vy: 0.00145349 | vz: -0.185909
>>> sx: 0.0133401 | sy: 0.00201162 | sz: -0.158195
>>> a: 0.00533685
>>> v: 0.186888
>>> s: 0.158769

ax: 0.00125122 | ay: 0.00134277 | az: -0.02211
ax: 0.000289917 | ay: 0.000366211 | az: -0.00502014
ax: -0.000167847 | ay: 0.000854492 | az: -0.00404358
ax: 0.00511169 | ay: 0.00895691 | az: -0.0152893
ax: -0.0035553 | ay: 0.00392151 | az: -0.0133362
ax: 0.00563049 | ay: -0.00567627 | az: -0.00942993
ax: -0.00683594 | ay: -0.00453186 | az: -0.0152588
ax: 0.00480652 | ay: 0.0075531 | az: 0.00474548
ax: 0.00708008 | ay: -0.00259399 | az: -0.0260315
ax: -0.000717163 | ay: -0.0025177 | az: -0.00550842
ax: -0.000244141 | ay: -0.00149536 | az: -0.00209045
ax: 0.00794983 | ay: -0.00146484 | az: -0.0133362
ax: 0.00157166 | ay: 0.00341797 | az: -0.00991821
ax: 0.0067749 | ay: 0.00712585 | az: -0.00701904
ax: 0.00422668 | ay: 0.00453186 | az: -0.0172882
ax: 0.00558472 | ay: 0.00205994 | az: -0.0148468
ax: -0.00267029 | ay: 0.0067749 | az: -0.00460815
ax: -0.000671387 | ay: -7.62939e-05 | az: -0.0104523
ax: 0.00131226 | ay: 0.00378418 | az: -0.00361633
ax: -0.00540161 | ay: 0.00325012 | az: -0.00801086
ax: -0.00804138 | ay: -0.00401306 | az: -0.017746
ax: -0.00402832 | ay: 0.00375366 | az: -0.0118866
ax: 0.00421143 | ay: 0.00175476 | az: -0.01091
ax: 0.000747681 | ay: -0.000228882 | az: -0.00553894
ax: -0.00695801 | ay: 0.0012207 | az: -0.0118866
ax: 0.00512695 | ay: 0.00465393 | az: -0.0118866
ax: -0.00262451 | ay: -0.00263977 | az: 0.00227356
ax: 0.00608826 | ay: -0.00390625 | az: -0.014328
ax: -0.000274658 | ay: -0.00334167 | az: -0.00553894
ax: -0.00169373 | ay: 0.0019989 | az: -0.00798035
ax: -0.00161743 | ay: -0.0018158 | az: -0.00357056
ax: -0.00149536 | ay: 0.00401306 | az: -0.0167389
ax: 0.00476074 | ay: 0.00151062 | az: 0.00375366
ax: -0.000549316 | ay: -0.00038147 | az: -0.0113678
ax: 0.000457764 | ay: -0.000823975 | az: -0.0211334
ax: -4.57764e-05 | ay: 0.00350952 | az: -0.00453186
ax: -0.00286865 | ay: 0.00440979 | az: -0.0103912
ax: -0.00222778 | ay: 0.00234985 | az: -0.0186768
ax: 0.000213623 | ay: -0.00540161 | az: 0.000854492
ax: -0.00210571 | ay: 0.00384521 | az: -0.0177002
ax: 0.00466919 | ay: 0.00183105 | az: -0.0142822
ax: -0.00305176 | ay: 0.00654602 | az: -0.00549316
ax: -0.00672913 | ay: 0.00448608 | az: -0.014267
ax: -0.000350952 | ay: -0.00228882 | az: -0.00694275
ax: 0.00540161 | ay: -0.0032196 | az: -0.000106812
ax: 0.000976562 | ay: 0.0039978 | az: -0.00256348
ax: 0.0038147 | ay: -0.0037384 | az: -0.00256348
ax: -0.00289917 | ay: 0.00213623 | az: -0.0176849
ax: -0.00137329 | ay: -0.00465393 | az: -0.00352478
ax: 0.00105286 | ay: 0.00453186 | az: -0.0128021
4: [20200915132121.357]
> sum ax: 0.0199127 | sum ay: 0.0556793 | sum az: -0.477631
>> avg ax: 0.000398254 | avg ay: 0.00111359 | avg az: -0.00955261
>>> vx: 0.0229448 | vy: 0.0123666 | vz: -0.279525
>>> sx: 0.0229341 | sy: 0.00770913 | sz: -0.236026
>>> a: 0.00962554
>>> v: 0.280737
>>> s: 0.237263

ax: -0.00137329 | ay: -0.00985718 | az: -0.00253296
ax: -0.0018158 | ay: 0.00271606 | az: -9.15527e-05
ax: 0.00161743 | ay: 0.0112457 | az: -0.0162201
ax: -0.00228882 | ay: -0.00143433 | az: 0.00624084
ax: 0.00215149 | ay: 0.00195312 | az: -0.0235443
ax: 0.0102539 | ay: -0.00334167 | az: -0.00158691
ax: -0.00622559 | ay: 3.05176e-05 | az: -0.00450134
ax: 0.00538635 | ay: -0.00282288 | az: 0.00231934
ax: -0.000915527 | ay: 0.003479 | az: -0.0142822
ax: 0.000976562 | ay: -0.000534058 | az: -0.00842285
ax: -0.00326538 | ay: 0.00616455 | az: -0.0133057
ax: 0.00160217 | ay: 0.000762939 | az: 0.00769043
ax: -0.0045929 | ay: 0.00932312 | az: -0.0133057
ax: -0.00204468 | ay: -0.00291443 | az: -0.0162201
