ax: -0.747162 | ay: -2.27235 | az: -0.54599
ax: -0.350235 | ay: 0.3918 | az: 1.14867
ax: -0.924606 | ay: -0.26152 | az: 0.477951
ax: -0.246002 | ay: -1.38057 | az: -0.238922
ax: -0.0254974 | ay: -1.09673 | az: -0.0714874
ax: 0.672958 | ay: -0.796524 | az: -0.273163
ax: 0.607147 | ay: -0.616287 | az: -0.370483
ax: 0.557907 | ay: -0.690765 | az: -0.184967
ax: 0.722427 | ay: -0.792801 | az: -0.0937653
ax: 0.581757 | ay: -0.590485 | az: -0.0674438
ax: 0.52449 | ay: -0.461975 | az: -0.0858612
ax: 0.393341 | ay: -0.372498 | az: -0.155502
ax: 0.148895 | ay: -0.203705 | az: -0.111481
ax: -0.0159302 | ay: 0.11145 | az: -0.054718
ax: -0.166779 | ay: 0.289688 | az: -0.0244446
ax: -0.368881 | ay: 0.474899 | az: -0.041687
4: [20200915133901.633]
> sum ax: -7.98627 | sum ay: -4.50784 | sum az: 1.67245
>> avg ax: -0.159725 | avg ay: -0.0901569 | avg az: 0.0334491
>>> vx: -9.12776 | vy: -0.261766 | vz: 0.671157
>>> sx: -8.7812 | sy: 1.51787 | sz: 0.866531
>>> a: 0.186438
>>> v: 9.15615
>>> s: 8.95345

ax: -0.612213 | ay: 0.619293 | az: 0.03479
ax: -0.725647 | ay: 1.02473 | az: 0.103943
ax: -0.968246 | ay: 1.48853 | az: 0.0252991
ax: -1.12256 | ay: 2.23955 | az: 0.147125
ax: -0.97493 | ay: 2.49878 | az: 0.291656
ax: -0.827866 | ay: 2.2939 | az: 0.375259
ax: -0.701797 | ay: 2.38255 | az: 0.56749
ax: -0.668289 | ay: 2.25456 | az: 0.689774
ax: -0.670425 | ay: 1.71739 | az: 0.811295
ax: -1.09122 | ay: -1.45287 | az: 1.21126
ax: -1.15569 | ay: 2.395 | az: -1.48909
ax: -0.942276 | ay: 1.75211 | az: 0.555267
ax: 0.477386 | ay: -0.546173 | az: 0.432343
ax: 0.0862427 | ay: 0.850388 | az: 0.0919342
ax: -0.237 | ay: 0.258942 | az: -0.0771942
ax: 0.0196533 | ay: 0.0751648 | az: 0.0819092
ax: 0.0201569 | ay: 0.0389404 | az: 0.184433
ax: -0.0481415 | ay: 0.0485687 | az: 0.0736389
ax: 0.0163879 | ay: 0.0119934 | az: 0.0629425
ax: 0.113525 | ay: -0.361252 | az: -0.0220947
ax: 0.00770569 | ay: 0.0408478 | az: -0.0151825
ax: 0.0148468 | ay: 0.0542908 | az: 0.0745239
ax: 0.0146332 | ay: 0.0271759 | az: 0.00196838
ax: -0.00785828 | ay: 0.0318146 | az: 0.0276184
ax: 0.0127716 | ay: 0.0442963 | az: -0.00294495
ax: -0.0375366 | ay: 0.0775452 | az: -0.0196686
ax: -0.00117493 | ay: 0.0731049 | az: 0.0413208
ax: -0.0426636 | ay: 0.0695343 | az: 0.10611
ax: -0.0579376 | ay: 0.0250397 | az: 0.0828705
ax: -0.0791321 | ay: 0.0346985 | az: 0.0496674
ax: -0.117111 | ay: 0.0854797 | az: -0.0374146
