ax: 0.00738525 | ay: 0.164474 | az: -0.0338287
ax: 0.0383759 | ay: 0.0641327 | az: -0.22467
ax: 0.00756836 | ay: 0.0244751 | az: 0.0413513
ax: 0.0468445 | ay: 0.0684204 | az: -0.162445
ax: 0.00604248 | ay: 0.164124 | az: -0.0734711
ax: 0.0186005 | ay: 0.134308 | az: -0.0711517
ax: 0.0351562 | ay: 0.123077 | az: -0.141953
ax: 0.0620728 | ay: 0.0650024 | az: -0.0406494
ax: 0.102844 | ay: 0.0513306 | az: -0.00756836
time: 3
[20201117140351.684]
> sum ax: 17.5032 | sum ay: 6.30975 | sum az: -4.73761
>> avg ax: 0.350063 | avg ay: 0.126195 | avg az: -0.0947522
>>> vx: 3.43062 | vy: 1.23671 | vz: -0.928572
>>> sx: 1.82109 | sy: -0.782984 | sz: -0.48596
>>> a: 0.383989
>>> v: 3.76309
>>> s: 2.04098

ax: 0.10112 | ay: 0.0198212 | az: -0.0805817
ax: 0.0730591 | ay: 0.0164032 | az: -0.0431824
ax: 0.180069 | ay: -0.0566864 | az: -0.0352631
ax: 0.273636 | ay: -0.097168 | az: 0.0832977
ax: 0.397263 | ay: -0.276749 | az: 0.166336
ax: 0.531143 | ay: -0.429291 | az: 0.0146027
ax: 0.624435 | ay: -0.511078 | az: 0.168915
ax: 0.674576 | ay: -0.641586 | az: 0.167709
ax: 1.03038 | ay: -0.889206 | az: -0.104858
ax: 1.0455 | ay: -1.71019 | az: -0.550095
ax: 1.0647 | ay: -2.27974 | az: -0.898788
ax: 1.09665 | ay: -1.52951 | az: -0.131546
ax: 0.49704 | ay: -1.58701 | az: -0.444031
ax: 0.632904 | ay: -0.603928 | az: -0.65715
ax: -0.145828 | ay: -0.164444 | az: -0.328629
ax: -0.262161 | ay: -1.25902 | az: 0.245834
ax: -0.822495 | ay: -0.999954 | az: 0.275375
ax: -0.561493 | ay: -0.578171 | az: 0.154022
ax: -0.55748 | ay: -0.470856 | az: 0.10231
ax: -0.393417 | ay: -0.237686 | az: 0.179581
ax: -0.3806 | ay: -0.134415 | az: 0.261398
ax: -0.220245 | ay: -0.109451 | az: 0.216202
ax: -0.0414429 | ay: -0.0714111 | az: 0.238953
ax: 0.319336 | ay: -0.00636292 | az: 0.231918
ax: 0.999802 | ay: 0.34819 | az: 0.00436401
ax: 1.18925 | ay: 0.824585 | az: 0.254135
ax: 1.27507 | ay: 1.88338 | az: -0.0517426
ax: 1.35081 | ay: 2.74904 | az: -0.26416
ax: 1.03731 | ay: 2.79036 | az: -0.672729
ax: 0.892059 | ay: 2.8027 | az: -0.541138
ax: 0.916748 | ay: 2.77718 | az: -0.342087
ax: 1.31392 | ay: 2.46039 | az: -0.663803
ax: 0.346329 | ay: -1.32945 | az: -0.418213
ax: 0.852142 | ay: 1.25827 | az: 1.02689
ax: 1.17775 | ay: 1.93629 | az: -0.308578
ax: 0.600769 | ay: 2.03845 | az: -0.286133
ax: 0.269257 | ay: 1.02765 | az: -0.124161
ax: 0.243729 | ay: 0.552872 | az: -0.225708
ax: -0.0161591 | ay: 0.279129 | az: -0.119629
ax: 0.0791473 | ay: 0.0579224 | az: -0.120193
ax: 0.0774994 | ay: 0.131668 | az: -0.00616455
ax: -0.00595093 | ay: 0.159546 | az: -0.160797
ax: -0.0328064 | ay: 0.15686 | az: -0.0749817
ax: -0.00909424 | ay: 0.211502 | az: -0.236771
ax: 0.0233307 | ay: 0.193924 | az: -0.00474548
ax: 0.0675659 | ay: 0.156357 | az: -0.0107574
ax: 0.0808258 | ay: 0.106506 | az: 0.000259399
ax: 0.0689392 | ay: 0.118332 | az: -0.141052
ax: 0.125153 | ay: -0.0801086 | az: -0.0373535
ax: 0.216324 | ay: -0.0814209 | az: 0.0269012
time: 4
[20201117140352.685]
> sum ax: 18.2964 | sum ay: 8.92244 | sum az: -4.26602
>> avg ax: 0.365927 | avg ay: 0.178449 | avg az: -0.0853204
>>> vx: 3.58609 | vy: 1.7488 | vz: -0.83614
>>> sx: 1.96633 | sy: -0.432247 | sz: -0.394315
>>> a: 0.415964
>>> v: 4.07645
>>> s: 2.05153

ax: 0.257599 | ay: -0.156006 | az: 0.094986
ax: 0.492142 | ay: -0.209106 | az: 0.00758362
ax: 0.634735 | ay: -0.342636 | az: -0.0154419
ax: 0.767181 | ay: -0.538132 | az: 0.171478
ax: 0.870056 | ay: -0.81012 | az: -0.0361176
ax: 1.03264 | ay: -1.09869 | az: -0.10527
ax: 1.04454 | ay: -2.26477 | az: -0.555405
ax: 1.06593 | ay: -1.19804 | az: -0.480652
ax: 1.09467 | ay: -1.69128 | az: -0.663574
ax: 0.280579 | ay: -0.570663 | az: -0.731888
ax: -0.542007 | ay: 1.14601 | az: -0.979553
ax: 0.348816 | ay: -1.2067 | az: -0.540848
ax: -0.962738 | ay: -1.13412 | az: 0.176514
ax: -0.587967 | ay: -0.765594 | az: 0.313293
ax: -0.632126 | ay: -0.42218 | az: 0.138824
ax: -0.502533 | ay: -0.215088 | az: 0.0464325
ax: -0.438034 | ay: -0.183395 | az: 0.143677
ax: -0.336182 | ay: -0.0709381 | az: 0.240234
ax: -0.168427 | ay: -0.0384979 | az: 0.251755
ax: 0.116486 | ay: 0.0509644 | az: 0.242889
ax: 0.610489 | ay: 0.165054 | az: 0.225525
ax: 1.19566 | ay: 0.598145 | az: 0.299011
ax: 1.28674 | ay: 1.45729 | az: 0.0226288
ax: 1.37369 | ay: 2.5882 | az: -0.289429
ax: 1.43413 | ay: 2.81439 | az: -0.466019
ax: 0.78241 | ay: 2.83888 | az: -0.69838
ax: 0.863846 | ay: 2.83084 | az: -0.218964
ax: 0.677963 | ay: 2.67665 | az: -0.144836
ax: 1.32986 | ay: -1.26244 | az: 0.0480652
ax: 0.831421 | ay: 2.36728 | az: 0.362335
ax: 1.11633 | ay: 1.64919 | az: -0.706223
ax: 0.379944 | ay: 2.14493 | az: 0.203888
ax: 0.288956 | ay: 0.952087 | az: -0.270187
ax: 0.360214 | ay: 0.587555 | az: 0.00483704
ax: -0.0851288 | ay: 0.343491 | az: -0.29213
ax: 0.0884247 | ay: 0.320282 | az: 0.00454712
ax: 0.0906067 | ay: 0.207489 | az: -0.00144958
ax: 0.0464783 | ay: 0.18779 | az: -0.156494
ax: -0.0400696 | ay: 0.156616 | az: -0.169067
ax: -0.0269928 | ay: 0.211227 | az: -0.219437
ax: 0.0213776 | ay: 0.121658 | az: -0.111679
ax: 0.0744324 | ay: 0.18338 | az: -0.00305176
ax: 0.0921936 | ay: 0.0849152 | az: 0.0158691
ax: 0.0717316 | ay: 0.0977631 | az: -0.0876312
ax: 0.162262 | ay: 0.0936432 | az: -0.151489
ax: 0.213974 | ay: -0.0296326 | az: 0.0412445
ax: 0.322556 | ay: -0.117477 | az: 0.125336
ax: 0.568878 | ay: -0.272263 | az: 0.0125732
ax: 0.693222 | ay: -0.390976 | az: 0.100906
ax: 0.80307 | ay: -0.623718 | az: 0.0434418
time: 5
[20201117140353.678]
> sum ax: 19.464 | sum ay: 11.2632 | sum az: -4.75734
>> avg ax: 0.389281 | avg ay: 0.225265 | avg az: -0.0951468
>>> vx: 3.81495 | vy: 2.2076 | vz: -0.932439
>>> sx: 2.04639 | sy: 0.217749 | sz: -0.599059
>>> a: 0.459714
>>> v: 4.50519
>>> s: 2.14337

ax: 1.01605 | ay: -0.849442 | az: -0.228668
ax: 1.02495 | ay: -1.40105 | az: -0.322815
ax: 1.03726 | ay: -2.24861 | az: -0.906403
ax: 1.05151 | ay: -1.03864 | az: -0.380219
ax: 0.670639 | ay: -1.61145 | az: -0.752365
ax: 0.188965 | ay: -0.620956 | az: -0.124222
ax: -0.332748 | ay: 0.550415 | az: -0.0592957
ax: -0.132965 | ay: -1.27315 | az: -0.210785
ax: -0.915115 | ay: -0.949265 | az: 0.0499725
ax: -0.571243 | ay: -0.68808 | az: 0.128616
ax: -0.662964 | ay: -0.444626 | az: -0.00805664
ax: -0.46225 | ay: -0.133545 | az: -0.0149536
ax: -0.40834 | ay: 0.0185852 | az: 0.0766296
ax: -0.284454 | ay: 0.0108795 | az: 0.0860291
ax: -0.107407 | ay: 0.0254822 | az: 0.0803223
ax: 0.268311 | ay: 0.227783 | az: 0.110107
ax: 0.805527 | ay: 0.509338 | az: 0.0439606
ax: 1.24469 | ay: 1.12723 | az: -0.0290985
ax: 1.34132 | ay: 1.92473 | az: -0.327988
ax: 1.4272 | ay: 2.80283 | az: -0.164154
ax: 1.1989 | ay: 2.84171 | az: -0.572845
ax: 1.01889 | ay: 2.85516 | az: -0.219925
ax: 0.880692 | ay: 2.83813 | az: 0.218781
ax: 1.40967 | ay: 2.49374 | az: -0.576355
ax: 0.692932 | ay: -1.25108 | az: 1.02841
ax: 1.31976 | ay: 1.93082 | az: 1.3499
ax: 1.23923 | ay: 2.37576 | az: -0.122543
ax: 0.393524 | ay: 1.85806 | az: -0.370041
ax: 0.123245 | ay: 1.01196 | az: -0.119781
ax: 0.474548 | ay: 0.96434 | az: -0.0312195
ax: -0.0626373 | ay: 0.159119 | az: -0.279785
ax: 0.124268 | ay: 0.193558 | az: -0.0732269
ax: 0.0241394 | ay: 0.209091 | az: -0.0601501
ax: 0.00549316 | ay: 0.257324 | az: -0.13237
ax: 0.0212402 | ay: 0.146439 | az: -0.173691
ax: 0.0275269 | ay: 0.255219 | az: -0.238892
ax: -0.00802612 | ay: 0.270355 | az: -0.0990601
ax: 0.0680237 | ay: 0.217911 | az: -0.0121002
ax: 0.102188 | ay: 0.112061 | az: 0.0324097
ax: 0.133942 | ay: 0.109604 | az: -0.154099
ax: 0.273514 | ay: -0.100113 | az: -0.058609
ax: 0.171799 | ay: -0.0778351 | az: 0.0222473
ax: 0.350647 | ay: -0.158813 | az: 0.197708
ax: 0.525345 | ay: -0.168793 | az: 0.0684662
ax: 0.627075 | ay: -0.309326 | az: 0.0511322
ax: 0.727463 | ay: -0.417023 | az: 0.0519104
ax: 0.785202 | ay: -0.751526 | az: -0.0412292
ax: 1.02098 | ay: -1.23994 | az: -0.197388
ax: 1.02971 | ay: -2.20375 | az: -0.809189
ax: 1.04141 | ay: -0.699463 | az: -0.481049
time: 6
[20201117140354.678]
> sum ax: 21.9396 | sum ay: 9.66116 | sum az: -4.75597
>> avg ax: 0.438793 | avg ay: 0.193223 | avg az: -0.0951193
>>> vx: 4.30017 | vy: 1.89359 | vz: -0.932169
>>> sx: 2.00697 | sy: 0.802504 | sz: -0.563095
>>> a: 0.488796
>>> v: 4.7902
>>> s: 2.23361

ax: 0.771774 | ay: -1.69012 | az: -0.679535
ax: 0.333054 | ay: -0.29303 | az: -1.17113
ax: -0.227631 | ay: 0.92749 | az: -0.675644
ax: 0.414703 | ay: -0.724228 | az: -0.224762
ax: -0.844772 | ay: -0.945175 | az: 0.24437
ax: -0.665466 | ay: -0.958099 | az: 0.217468
ax: -0.60936 | ay: -0.522934 | az: 0.131668
ax: -0.515793 | ay: -0.265411 | az: 0.139374
ax: -0.525024 | ay: -0.10466 | az: 0.27095
ax: -0.39772 | ay: -0.0322876 | az: 0.294022
ax: -0.257507 | ay: -0.0307617 | az: 0.261917
ax: -0.0419159 | ay: 0.0258331 | az: 0.248978
