ax: -0.630859 | ay: -0.278839 | az: -0.0294342
ax: -0.535309 | ay: -0.198959 | az: 0.0572968
ax: -0.350677 | ay: -0.108139 | az: 0.117691
ax: -0.140457 | ay: -0.0156097 | az: 0.145645
ax: 0.399826 | ay: 0.115784 | az: 0.179657
ax: 0.901764 | ay: 0.520248 | az: 0.39209
ax: 1.16757 | ay: 1.18015 | az: 0.560196
ax: 1.24135 | ay: 1.88394 | az: 0.649506
ax: 1.2961 | ay: 2.55466 | az: 0.759644
ax: 0.829971 | ay: 2.57553 | az: 1.82591
ax: 1.29213 | ay: 2.51923 | az: 1.71468
ax: 0.785431 | ay: -1.49474 | az: -1.44429
ax: 0.214615 | ay: 1.46172 | az: 0.302673
ax: 0.923935 | ay: 0.634094 | az: 1.02237
ax: 0.526306 | ay: 1.48109 | az: -0.0683441
ax: 0.172226 | ay: 0.939087 | az: 0.496765
ax: -0.0105896 | ay: 0.382904 | az: 0.493774
ax: 0.101257 | ay: 0.403809 | az: 0.0967102
ax: 0.136215 | ay: 0.279694 | az: -0.0416565
ax: -0.0126953 | ay: 0.00442505 | az: -0.0846558
ax: -0.040741 | ay: 0.115829 | az: -0.298859
ax: -0.0356903 | ay: -0.046875 | az: -0.253296
ax: -0.0404663 | ay: 0.0404968 | az: -0.127914
4: [20200927204650.071]
> sum ax: 11.7803 | sum ay: 4.96921 | sum az: -0.848068
>> avg ax: 0.235606 | avg ay: 0.0993842 | avg az: -0.0169614
>>> vx: 2.30894 | vy: 0.973965 | vz: -0.166221
>>> sx: 1.06858 | sy: -0.544093 | sz: -0.572996
>>> a: 0.256272
>>> v: 2.51146
>>> s: 1.32899

ax: -0.0163574 | ay: 0.0627136 | az: 0.0576935
ax: 0.042572 | ay: -0.00517273 | az: 0.0973511
ax: 0.0306854 | ay: 0.0183716 | az: 0.0244293
ax: 0.016922 | ay: 0.0801849 | az: 0.000808716
ax: 0.00498962 | ay: -0.0043335 | az: -0.0503235
ax: 0.0113983 | ay: -0.0301514 | az: -0.0275116
ax: 0.0945129 | ay: 0.0142975 | az: 0.00437927
ax: 0.182846 | ay: 0.0609589 | az: -0.00587463
ax: 0.214111 | ay: 0.0664368 | az: -0.161713
ax: 0.214355 | ay: 0.0436554 | az: -0.243896
ax: 0.503372 | ay: -0.309952 | az: 0.0132599
ax: 0.584122 | ay: -0.374893 | az: 0.0429993
ax: 0.799957 | ay: -0.567184 | az: 0.0982361
ax: 0.907669 | ay: -0.584412 | az: -0.320084
