ax: -0.00186157 | ay: 0.00915527 | az: 0.00115967
ax: -0.0772247 | ay: 0.0233154 | az: 0.0908813
ax: -0.0484161 | ay: 0.0615082 | az: 0.0857086
ax: 0.0205688 | ay: 0.124969 | az: -0.0548706
ax: 0.0329437 | ay: 0.158066 | az: -0.148087
ax: 0.0367889 | ay: 0.211349 | az: 0.00305176
ax: -0.0113525 | ay: 0.0892487 | az: 0.0851898
ax: -0.0250854 | ay: 0.0563049 | az: 0.060257
ax: 0.0177765 | ay: 0.0523224 | az: -0.0265961
ax: 0.0439453 | ay: 0.106964 | az: -0.0575867
ax: 0.0435028 | ay: 0.11702 | az: -0.0406342
ax: 0.0399475 | ay: 0.073822 | az: -0.0462189
ax: 0.0266724 | ay: 0.0652313 | az: 0.014389
ax: 0.013382 | ay: 0.0741577 | az: 0.0392914
ax: -0.0386658 | ay: -0.0518951 | az: -0.0349731
ax: -0.0612946 | ay: -0.00511169 | az: 0.0660553
ax: -0.0425568 | ay: 0.0176697 | az: 0.0725403
ax: -0.0292053 | ay: 0.0632782 | az: 0.0262909
ax: -0.0359192 | ay: 0.120728 | az: -0.00152588
time: 5
[20201124141631.031]
> sum ax: -4.88539 | sum ay: -4.3374 | sum az: -2.92133
>> avg ax: -0.0977078 | avg ay: -0.086748 | avg az: -0.0584265
>>> vx: -0.957537 | vy: -0.850131 | vz: -0.57258
>>> sx: -0.449655 | sy: -0.375371 | sz: -0.366471
>>> a: 0.143128
>>> v: 1.40266
>>> s: 0.690937

ax: -0.0636902 | ay: 0.103394 | az: -0.0256958
ax: -0.0662994 | ay: 0.0922394 | az: 0.0152588
ax: -0.0858765 | ay: 0.0831604 | az: 0.0327148
ax: -0.0927734 | ay: 0.0804138 | az: 0.0209808
ax: -0.121292 | ay: 0.0790863 | az: 0.033783
ax: -0.127502 | ay: 0.127548 | az: 0.0806274
ax: -0.189682 | ay: 0.142105 | az: 0.0957336
ax: -0.246323 | ay: 0.174911 | az: 0.0771942
ax: -0.418991 | ay: 0.242569 | az: -0.00050354
ax: -0.480972 | ay: 0.282166 | az: 0.000289917
ax: -0.745987 | ay: 0.276352 | az: 0.0677338
ax: -1.08951 | ay: 0.565643 | az: 0.0110321
ax: -0.521515 | ay: 1.43439 | az: 0.0244598
ax: -0.589218 | ay: 0.792099 | az: 0.209412
ax: -0.605438 | ay: 0.520126 | az: 0.034256
