ax: -1.14868 | ay: -1.95383 | az: 0.103531
ax: -1.11905 | ay: -2.5183 | az: 0.450699
ax: -1.04195 | ay: -2.53006 | az: 0.781387
ax: -0.731171 | ay: -1.85556 | az: 0.0367584
ax: -0.526871 | ay: -1.68845 | az: -0.156998
ax: 0.283829 | ay: 1.57407 | az: -0.348053
ax: -0.884979 | ay: 0.508453 | az: 0.984848
ax: -0.826492 | ay: -1.53609 | az: 0.250778
ax: -0.48317 | ay: -0.899277 | az: -0.234787
ax: -0.349747 | ay: -0.575912 | az: -0.118408
ax: -0.127853 | ay: -0.181747 | az: -0.0598602
ax: -0.00534058 | ay: -0.490967 | az: -0.12088
ax: -0.052063 | ay: -0.101349 | az: 0.0604401
ax: -0.058136 | ay: 0.189667 | az: 0.0930939
ax: -0.0211029 | ay: 0.187943 | az: -0.0931244
ax: -0.0152588 | ay: -0.0988159 | az: -0.0991058
ax: 0.0649872 | ay: -0.117813 | az: -0.132187
ax: 0.00942993 | ay: 0.301804 | az: 0.0525665
ax: 0.0149689 | ay: 0.00801086 | az: -0.0522156
ax: 0.0183411 | ay: -0.082077 | az: -0.123016
ax: 0.00175476 | ay: -0.0515137 | az: -0.0720215
ax: -0.0189667 | ay: -0.0105133 | az: -0.0763702
ax: -0.0472107 | ay: 0.019165 | az: 0.0127563
ax: -0.0726624 | ay: 0.0174561 | az: -0.0892334
ax: -0.0892181 | ay: -0.0791473 | az: -0.128448
ax: -0.0747223 | ay: 0.00216675 | az: -0.0626526
ax: -0.0793762 | ay: 0.0712433 | az: -0.0788422
ax: -0.0744171 | ay: 0.132019 | az: 0.0744476
ax: -0.0840912 | ay: 0.205872 | az: 0.121765
ax: -0.189072 | ay: 0.284744 | az: 0.028595
ax: -0.304276 | ay: 0.310562 | az: -0.101776
ax: -0.404037 | ay: 0.297089 | az: -0.0742188
ax: -0.502899 | ay: 0.428528 | az: -0.0358734
ax: -0.826324 | ay: 0.632034 | az: -0.332489
ax: -1.03572 | ay: 0.785995 | az: -0.640015
ax: -1.04933 | ay: 1.44635 | az: -0.961304
ax: -0.439255 | ay: 0.914856 | az: -0.55687
ax: -0.493591 | ay: 0.0167542 | az: -0.769012
ax: 0.0980225 | ay: -0.0549011 | az: -0.72522
time: 6
[20210614162732.474]
> sum ax: -12.2935 | sum ay: -1.8688 | sum az: -2.86604
>> avg ax: -0.24587 | avg ay: -0.0373761 | avg az: -0.0573209
>>> vx: -1.20476 | vy: -0.183143 | vz: -0.280872
>>> sx: -0.473044 | sy: -0.327776 | sz: 0.0843091
>>> a: 0.255215
>>> v: 1.25055
>>> s: 0.581649

ax: 0.414383 | ay: 0.464127 | az: -0.364838
ax: 0.786392 | ay: 1.01044 | az: -0.294846
ax: 0.766281 | ay: 1.04991 | az: -0.138977
ax: 0.621124 | ay: 0.972977 | az: -0.170044
ax: 0.541214 | ay: 0.788284 | az: -0.114502
ax: 0.512497 | ay: 0.604919 | az: -0.0399475
ax: 0.380798 | ay: 0.503998 | az: -0.0158844
ax: 0.265533 | ay: 0.476608 | az: -0.0339355
ax: 0.165817 | ay: 0.408691 | az: -0.0397797
ax: -0.0668488 | ay: 0.282516 | az: -0.0491486
ax: -0.318924 | ay: 0.163773 | az: 0.108307
ax: -0.668152 | ay: 0.0943298 | az: 0.100372
ax: -1.05289 | ay: -0.102386 | az: 0.0803528
ax: -1.09204 | ay: -0.648529 | az: 0.101913
ax: -1.1371 | ay: -1.30304 | az: 0.0383453
ax: -1.17592 | ay: -1.96385 | az: 0.0876312
ax: -0.844498 | ay: -2.06761 | az: 0.7668
ax: -0.537659 | ay: -2.36241 | az: 0.729156
ax: -0.576935 | ay: -1.90878 | az: 0.137909
ax: -0.264557 | ay: -1.68744 | az: 0.571335
ax: 0.0457611 | ay: 1.48103 | az: -0.502304
ax: -1.12177 | ay: 0.90509 | az: 1.6203
ax: -1.11575 | ay: -2.16707 | az: -0.530151
ax: -0.507492 | ay: -0.73848 | az: 0.0367432
ax: -0.164871 | ay: -0.674255 | az: 0.071579
ax: -0.0751038 | ay: -0.182129 | az: -0.00137329
ax: 0.0884705 | ay: -0.418182 | az: -0.172043
