>> avg ax: -0.0847415 | avg ay: 0.228193 | avg az: -0.126249
>>> vx: -0.415233 | vy: 1.11814 | vz: -0.618622
>>> sx: -0.207068 | sy: 0.285988 | sz: -0.0884117
>>> a: 0.274212
>>> v: 1.34364
>>> s: 0.363982

ax: -0.313217 | ay: -0.0354156 | az: 0.0829926
ax: -0.244675 | ay: -0.23587 | az: 0.0906219
ax: -0.222397 | ay: -0.232193 | az: 0.0991364
ax: -0.160324 | ay: -0.34935 | az: 0.201279
ax: -0.150467 | ay: -0.61348 | az: 0.278839
ax: -0.327484 | ay: -0.911514 | az: 0.174149
ax: -0.220779 | ay: -0.577896 | az: 0.273972
ax: -0.0920563 | ay: -0.369049 | az: 0.359467
ax: -0.150864 | ay: -0.610596 | az: 0.401932
ax: -0.180069 | ay: -0.672379 | az: 0.468506
ax: -0.248169 | ay: -0.705765 | az: 0.46579
ax: -0.312515 | ay: -0.847137 | az: 0.385849
ax: -0.260239 | ay: -0.739822 | az: 0.421875
ax: -0.300171 | ay: -0.751389 | az: 0.398056
ax: -0.30307 | ay: -0.932663 | az: 0.379456
ax: -0.274475 | ay: -1.08965 | az: 0.316895
ax: -0.346558 | ay: -0.860275 | az: 0.156448
ax: 0.296417 | ay: 1.7381 | az: -0.258575
ax: -0.746292 | ay: 1.10858 | az: 0.789383
ax: -0.85321 | ay: -0.359192 | az: 0.227707
ax: -0.692261 | ay: -1.41765 | az: -0.350082
ax: -1.03169 | ay: -0.37114 | az: 0.290894
ax: 0.424698 | ay: -0.157928 | az: -0.101318
ax: -0.031189 | ay: -0.387802 | az: -0.14122
ax: -0.19397 | ay: 0.180984 | az: -0.023407
ax: 0.0599823 | ay: 0.334137 | az: 0.0443878
ax: 0.161469 | ay: 0.307343 | az: -0.110352
ax: 0.104034 | ay: 0.0646973 | az: -0.125168
ax: 0.0263367 | ay: 0.0655823 | az: -0.097702
ax: -0.00617981 | ay: -0.0162354 | az: -0.0740204
ax: -0.0636444 | ay: 0.125519 | az: -0.0730896
ax: -0.0267487 | ay: 0.115234 | az: 0.0375824
ax: 0.00753784 | ay: 0.246857 | az: 0.0274048
ax: -0.00546265 | ay: 0.175842 | az: -0.120041
ax: -0.0404053 | ay: 0.142014 | az: -0.149399
ax: -0.0467224 | ay: 0.0284119 | az: -0.145828
ax: -0.0223541 | ay: 0.0605164 | az: -0.0843506
ax: -0.0561523 | ay: 0.099762 | az: -0.0851593
ax: 0.0116577 | ay: 0.2686 | az: -0.126251
ax: -0.167282 | ay: 0.206436 | az: -0.219742
ax: -0.150009 | ay: 0.129669 | az: -0.31282
ax: -0.230286 | ay: 0.148544 | az: -0.24852
ax: -0.371735 | ay: 0.0917664 | az: -0.442673
ax: -0.666672 | ay: 0.252457 | az: -0.343872
ax: -0.570511 | ay: 0.556351 | az: -0.0544739
ax: -0.631577 | ay: 0.397202 | az: -0.446808
ax: -0.432007 | ay: 0.378983 | az: -0.751266
ax: -0.244232 | ay: 0.320984 | az: -0.803787
ax: 0.156372 | ay: 0.156525 | az: -0.66864
ax: 0.453171 | ay: 0.556824 | az: -0.845963
time: 6
[20210614164144.637]
> sum ax: -9.68645 | sum ay: -4.98647 | sum az: -0.831909
>> avg ax: -0.193729 | avg ay: -0.0997293 | avg az: -0.0166382
>>> vx: -0.949272 | vy: -0.488674 | vz: -0.081527
>>> sx: -0.534396 | sy: -0.685947 | sz: 0.339778
>>> a: 0.218526
>>> v: 1.07078
>>> s: 0.933569

ax: 0.968536 | ay: 2.10489 | az: -1.0565
ax: 0.840393 | ay: 1.68004 | az: -0.705597
ax: 0.50087 | ay: 1.58067 | az: -0.794617
ax: -0.0690002 | ay: 1.25514 | az: -0.548981
ax: -0.339325 | ay: 0.876358 | az: -0.401611
ax: -0.531006 | ay: 0.548965 | az: -0.409271
ax: -0.639252 | ay: 0.10437 | az: -0.361099
ax: -0.687805 | ay: -0.281479 | az: -0.23085
ax: -0.558548 | ay: -0.337463 | az: 0.0190277
ax: -0.51532 | ay: -0.425812 | az: 0.137894
ax: -0.348373 | ay: -0.246155 | az: 0.276947
ax: -0.288315 | ay: -0.486908 | az: 0.255035
ax: -0.25177 | ay: -0.456345 | az: 0.326218
ax: -0.218567 | ay: -0.435791 | az: 0.390533
ax: -0.197662 | ay: -0.550995 | az: 0.438675
ax: -0.235596 | ay: -0.641647 | az: 0.405441
ax: -0.167923 | ay: -0.696045 | az: 0.367172
ax: -0.104034 | ay: -0.713943 | az: 0.239899
ax: -0.0275116 | ay: -0.645386 | az: 0.249039
ax: -0.0810852 | ay: -0.686005 | az: 0.26738
ax: -0.181839 | ay: -0.693069 | az: 0.434692
ax: -0.236252 | ay: -0.69986 | az: 0.560638
ax: -0.21785 | ay: -0.620667 | az: 0.671463
ax: -0.255524 | ay: -1.01854 | az: 0.552963
ax: -0.138458 | ay: -0.693375 | az: 0.644424
ax: 0.05159 | ay: 0.878326 | az: 0.681061
ax: -0.822372 | ay: 1.79433 | az: -0.00753784
ax: -1.05548 | ay: -2.18565 | az: 0.829742
ax: -0.608887 | ay: -0.121582 | az: 0.70961
ax: 0.165833 | ay: -0.34996 | az: 0.133911
ax: 0.253494 | ay: -0.389893 | az: -0.440964
ax: -0.134521 | ay: -0.205612 | az: -0.162369
ax: 0.00448608 | ay: 0.578583 | az: -0.0974884
ax: 0.134659 | ay: 0.619766 | az: -0.24791
ax: 0.069519 | ay: 0.191666 | az: -0.204575
ax: 0.0924377 | ay: 0.00553894 | az: -0.154968
ax: -0.0468445 | ay: 0.0310669 | az: -0.0149231
ax: -0.0802307 | ay: 0.187271 | az: -0.00517273
ax: -0.0557861 | ay: 0.107864 | az: 0.0517883
ax: 0.0238342 | ay: 0.109924 | az: -0.0956116
ax: -0.0158691 | ay: 0.0517731 | az: -0.106735
ax: 0.00123596 | ay: 0.0831757 | az: -0.0745239
ax: -0.0122223 | ay: 0.0241852 | az: -0.0957642
ax: -0.0793457 | ay: 0.223251 | az: -0.0923157
ax: -0.0720673 | ay: 0.0830841 | az: -0.185684
ax: -0.076889 | ay: 0.121338 | az: -0.1763
ax: -0.0410767 | ay: 0.208649 | az: -0.157043
ax: -0.083847 | ay: 0.245132 | az: -0.200195
ax: -0.059494 | ay: 0.275208 | az: -0.251251
ax: -0.314728 | ay: 0.0821991 | az: -0.39653
time: 7
[20210614164145.640]
> sum ax: -6.74379 | sum ay: 0.470581 | sum az: 0.967163
>> avg ax: -0.134876 | avg ay: 0.00941162 | avg az: 0.0193433
>>> vx: -0.660891 | vy: 0.046117 | vz: 0.094782
>>> sx: -0.354472 | sy: 0.155618 | sz: 0.01882
>>> a: 0.13658
>>> v: 0.669244
>>> s: 0.387584

ax: -0.592865 | ay: 0.296906 | az: -0.0994873
ax: -0.873672 | ay: 0.518738 | az: 0.0633392
ax: -0.778595 | ay: 0.710205 | az: -0.424881
ax: -0.815338 | ay: 0.67894 | az: -0.46196
ax: -0.425827 | ay: 0.811737 | az: -0.198227
ax: 0.0839233 | ay: 0.275894 | az: -0.446503
ax: 0.134262 | ay: 0.276627 | az: -0.353851
ax: 0.471588 | ay: 0.052536 | az: -0.426544
ax: 1.33536 | ay: 2.05887 | az: -0.727921
ax: 0.862137 | ay: 1.31752 | az: -1.19693
ax: 0.510803 | ay: 1.15207 | az: -0.819763
ax: 0.199539 | ay: 0.906067 | az: -0.792847
ax: -0.0437775 | ay: 0.718414 | az: -0.590775
ax: -0.325073 | ay: 0.550797 | az: -0.417953
ax: -0.535828 | ay: 0.161179 | az: -0.425415
ax: -0.619049 | ay: 0.00256348 | az: -0.30394
ax: -0.761826 | ay: -0.0323029 | az: -0.0996704
ax: -0.624954 | ay: -0.0705109 | az: 0.0518494
ax: -0.473038 | ay: -0.317322 | az: 0.0496368
ax: -0.381393 | ay: -0.260757 | az: 0.146362
ax: -0.28772 | ay: -0.552673 | az: 0.196381
ax: -0.272797 | ay: -0.84285 | az: 0.129272
ax: -0.178436 | ay: -1.05698 | az: 0.277512
ax: -0.232849 | ay: -0.984833 | az: 0.42244
ax: -0.278824 | ay: -1.16017 | az: 0.581436
ax: -0.0103912 | ay: -0.464844 | az: 1.20743
ax: 0.19133 | ay: -0.725052 | az: 1.14505
ax: 0.41304 | ay: -1.22919 | az: 0.766815
ax: -0.398071 | ay: -1.27951 | az: 0.929352
ax: -1.06592 | ay: -2.10001 | az: -1.65704
ax: -1.06129 | ay: 0.461105 | az: 2.33891
ax: -0.0861359 | ay: 1.18179 | az: 2.28339
ax: -0.297882 | ay: -0.444595 | az: -0.3396
ax: 0.380463 | ay: -0.767593 | az: -0.563171
ax: 0.461349 | ay: -0.519287 | az: -0.169174
ax: 0.212357 | ay: -0.241348 | az: 0.111237
ax: 0.0227814 | ay: 0.322769 | az: 0.0339355
ax: -0.250259 | ay: 0.260468 | az: 0.168945
ax: 0.0267029 | ay: 0.207626 | az: -0.146744
ax: 0.060257 | ay: 0.0739441 | az: -0.0126953
ax: 0.0544434 | ay: 0.204391 | az: -0.116577
ax: -0.0410004 | ay: 0.307999 | az: -0.117935
ax: 0.0125122 | ay: 0.0623169 | az: -0.0313721
ax: 0.00732422 | ay: 0.0781403 | az: 0.0664825
ax: 0.0476837 | ay: 0.0640411 | az: 0.0372009
ax: -0.0278625 | ay: 0.0351105 | az: -0.00259399
ax: -0.21434 | ay: 0.233292 | az: -0.0843658
ax: -0.109299 | ay: 0.0839996 | az: -0.000228882
ax: -0.0317535 | ay: -0.0514832 | az: 0.027832
ax: -0.0388794 | ay: 0.0759888 | az: 0.0511932
time: 8
[20210614164146.637]
> sum ax: -6.64709 | sum ay: 1.04074 | sum az: 0.0578308
>> avg ax: -0.132942 | avg ay: 0.0208148 | avg az: 0.00115662
>>> vx: -0.651415 | vy: 0.101992 | vz: 0.00566744
>>> sx: -0.416694 | sy: 0.362279 | sz: -0.26032
>>> a: 0.134567
>>> v: 0.659376
>>> s: 0.610448

ax: 0.120087 | ay: 0.249908 | az: -0.107056
ax: 0.0860748 | ay: 0.11972 | az: -0.12616
ax: 0.133209 | ay: 0.0187683 | az: -0.108444
ax: 0.0851593 | ay: 0.00511169 | az: -0.0884094
ax: -0.0162811 | ay: -0.0260773 | az: 0.0714874
ax: 0.0288239 | ay: 0.153595 | az: -0.0354309
ax: 0.00450134 | ay: 0.112366 | az: -0.0400085
ax: -0.0450287 | ay: 0.139648 | az: -0.0492249
ax: 0.0335541 | ay: 0.0665436 | az: -0.0295563
ax: -0.0514679 | ay: -0.011322 | az: -0.121796
ax: 0.0993805 | ay: 0.100464 | az: -0.00912476
ax: -0.121658 | ay: 0.215988 | az: 0.136459
ax: -0.180542 | ay: 0.167572 | az: -0.0279999
ax: -0.144073 | ay: 0.127441 | az: -0.121597
ax: -0.0664825 | ay: 0.173538 | az: 0.052948
