ax: 0.122833 | ay: -0.11821 | az: -0.0930023
ax: -0.00276184 | ay: -0.281616 | az: -0.167908
ax: -0.0222168 | ay: -0.0788574 | az: -0.0938416
ax: 0.0244141 | ay: 0.122391 | az: 0.0868835
ax: -0.071701 | ay: 0.136749 | az: 0.0256653
ax: -0.0106049 | ay: 0.142044 | az: 0.065918
ax: 0.0355835 | ay: 0.0981293 | az: 0.0467072
ax: 0.0410767 | ay: 0.141632 | az: -0.0627136
ax: 0.0365601 | ay: 0.200516 | az: -0.0967407
ax: 0.00613403 | ay: 0.11824 | az: -0.0878754
time: 3
[20210614162619.100]
> sum ax: -8.83925 | sum ay: 2.95964 | sum az: -1.48387
>> avg ax: -0.176785 | avg ay: 0.0591928 | avg az: -0.0296774
>>> vx: -0.866246 | vy: 0.290045 | vz: -0.145419
>>> sx: -0.4806 | sy: 0.520277 | sz: -0.204138
>>> a: 0.188779
>>> v: 0.925017
>>> s: 0.737114

ax: -0.00553894 | ay: 0.0726929 | az: -0.0284729
ax: -0.0150604 | ay: 0.163559 | az: -0.00595093
ax: -0.00418091 | ay: 0.142776 | az: 0.00398254
ax: 0.00474548 | ay: 0.220032 | az: 0.0789032
ax: -0.0481415 | ay: 0.117554 | az: -0.0475769
ax: -0.00587463 | ay: 0.082428 | az: -0.160965
ax: 0.0181885 | ay: 0.0866241 | az: -0.203888
ax: -0.00590515 | ay: 0.0899353 | az: -0.163071
ax: -0.0378265 | ay: 0.151825 | az: -0.077301
ax: -0.0599976 | ay: 0.186829 | az: -0.125305
ax: -0.0618896 | ay: 0.197586 | az: -0.176849
ax: -0.0582581 | ay: 0.179535 | az: -0.0876007
ax: -0.119949 | ay: 0.26619 | az: 0.110352
ax: -0.193436 | ay: 0.192017 | az: 0.032608
ax: -0.219421 | ay: 0.410446 | az: 0.0915375
ax: -0.257812 | ay: 0.500122 | az: 0.00990295
ax: -0.452011 | ay: 0.419083 | az: -0.0431061
ax: -0.557556 | ay: 0.527222 | az: -0.0329437
ax: -0.930038 | ay: 0.82016 | az: -0.271927
ax: -1.05411 | ay: 0.742844 | az: -0.484451
ax: -0.949509 | ay: 1.28281 | az: -0.571487
ax: -0.149155 | ay: 0.902374 | az: -0.427002
ax: -0.362106 | ay: 0.498581 | az: -0.402954
ax: 0.209076 | ay: -0.245911 | az: -0.586029
ax: 0.384598 | ay: 0.245361 | az: -0.39975
ax: 0.637222 | ay: 0.929855 | az: -0.200592
ax: 0.785477 | ay: 1.01274 | az: -0.158356
ax: 0.811478 | ay: 0.946472 | az: -0.153214
ax: 0.622208 | ay: 0.727814 | az: -0.0634613
ax: 0.615723 | ay: 0.568283 | az: -0.0994415
ax: 0.507355 | ay: 0.500015 | az: -0.164322
ax: 0.287018 | ay: 0.467972 | az: -0.185349
ax: 0.149658 | ay: 0.392487 | az: -0.169556
ax: -0.226639 | ay: 0.344742 | az: 0.086792
ax: -0.463531 | ay: 0.00132751 | az: 0.0519562
ax: -0.628555 | ay: -0.0648804 | az: -0.0148315
ax: -0.995911 | ay: -0.0926971 | az: 0.0899658
ax: -0.850204 | ay: -0.452087 | az: 0.213318
ax: -0.840179 | ay: -0.818817 | az: 0.296005
ax: -0.655533 | ay: -0.55719 | az: 0.353729
