ax: 0 | ay: 0 | az: -1
ax: -0.000961304 | ay: -0.0465698 | az: -0.0370941
ax: -0.0078125 | ay: -0.0574341 | az: 0.0150604
ax: 0.0184937 | ay: -0.0130463 | az: -0.000167847
ax: 0.00813293 | ay: 0.0420227 | az: 0.00376892
ax: -0.0169678 | ay: 0.0390015 | az: -0.000320435
ax: -0.051239 | ay: -0.0418396 | az: -0.0102081
ax: -0.0469513 | ay: -0.0526276 | az: 0.0409546
ax: -0.0752716 | ay: 0.0420074 | az: 0.046875
ax: -0.120468 | ay: -0.00740051 | az: 0.0344086
ax: -0.116272 | ay: 0.0403442 | az: 0.0254822
ax: -0.257889 | ay: 0.0445862 | az: 0.0926514
ax: -0.286514 | ay: 0.0777893 | az: 0.0397186
ax: -0.342545 | ay: 0.157181 | az: 0.0561676
ax: -0.622559 | ay: 0.206497 | az: 0.0213013
ax: -0.935471 | ay: 0.165985 | az: 0.0439606
ax: -1.07713 | ay: 0.613724 | az: 0.0502319
ax: -0.90477 | ay: 1.40462 | az: 0.256744
ax: -0.872696 | ay: 0.505219 | az: 0.388504
ax: -0.584244 | ay: 0.921616 | az: -0.242233
ax: -0.565826 | ay: 0.647354 | az: -0.342514
ax: 0.0546417 | ay: 0.637115 | az: 0.024765
ax: 0.396591 | ay: -0.0686646 | az: -0.238388
ax: 0.310547 | ay: -0.238586 | az: -0.231461
ax: 0.282303 | ay: 0.341583 | az: 0.35199
ax: 0.526917 | ay: 0.609924 | az: 0.358017
ax: 0.621536 | ay: 0.670914 | az: 0.320175
ax: 0.648788 | ay: 0.557693 | az: 0.208893
ax: 0.610123 | ay: 0.464264 | az: 0.174545
ax: 0.528336 | ay: 0.278 | az: 0.121277
ax: 0.487396 | ay: 0.154785 | az: 0.0632477
ax: 0.429947 | ay: 0.13089 | az: 0.0313873
ax: 0.318573 | ay: 0.112167 | az: -0.0113831
time: 4
[20210722062722.573]
> sum ax: -3.65665 | sum ay: 6.84177 | sum az: 1.23999
>> avg ax: -0.0731329 | avg ay: 0.136835 | avg az: 0.0247998
>>> vx: -0.358351 | vy: 0.670493 | vz: 0.121519
>>> sx: -0.358079 | sy: 0.0677044 | sz: 0.0101512
>>> a: 0.157122
>>> v: 0.769898
>>> s: 0.364565

ax: 0.106094 | ay: 0.0231171 | az: -0.0579834
ax: -0.192368 | ay: -0.200577 | az: -0.164276
ax: -0.569138 | ay: -0.432053 | az: -0.32074
ax: -0.999329 | ay: -0.647247 | az: -0.516754
ax: -1.10042 | ay: -1.11996 | az: -0.83902
ax: -1.14182 | ay: -1.89159 | az: -0.926758
ax: -0.851608 | ay: -1.81349 | az: -1.0583
ax: -0.535492 | ay: -2.00868 | az: -1.0242
ax: -0.648163 | ay: -2.2112 | az: -0.971222
ax: -0.159668 | ay: -1.5793 | az: -0.754593
ax: -0.264053 | ay: 0.669632 | az: 0.495422
ax: -0.313492 | ay: 0.619278 | az: 0.780746
ax: -0.64621 | ay: -0.967407 | az: -0.185257
ax: -0.475174 | ay: -0.37706 | az: -0.341385
ax: -0.249557 | ay: -0.447296 | az: -0.52774
ax: -0.0523834 | ay: -0.328629 | az: -0.347672
ax: -0.1147 | ay: -0.518997 | az: -0.10231
ax: -0.108826 | ay: -0.286453 | az: -0.0956268
ax: -0.047287 | ay: 0.0075531 | az: -0.0831757
ax: -0.0611267 | ay: -0.0493317 | az: -0.0689087
ax: -0.0563202 | ay: -0.0545807 | az: -0.0325317
ax: 0.004776 | ay: -0.0055542 | az: -0.0405121
ax: 0.0272064 | ay: 0.0308075 | az: -0.147354
ax: 0.0231171 | ay: -0.0205231 | az: -0.0686951
ax: 0.0169525 | ay: -0.013916 | az: 0.0587311
ax: 0.00837708 | ay: -0.0502777 | az: 0.0558624
ax: 0.00585938 | ay: -0.0410919 | az: -0.0286865
ax: -0.00926208 | ay: -0.0692291 | az: -0.0480652
