>>> sx: 0.604261 | sy: -0.294649 | sz: -0.63897
>>> a: 0.206047
>>> v: 2.01926
>>> s: 0.927487

ax: 0.375641 | ay: -0.781677 | az: -0.256393
ax: 0.823776 | ay: -1.0845 | az: 0.369675
ax: 0.97966 | ay: 0.502274 | az: 0.0375519
ax: 0.39238 | ay: 0.399185 | az: 0.597031
ax: 0.68605 | ay: 0.85054 | az: 0.533096
ax: 0.266174 | ay: 0.317276 | az: 0.263626
ax: 0.141281 | ay: 0.194809 | az: 0.128738
ax: -0.102921 | ay: 0.000518799 | az: 0.125717
ax: 0.0741425 | ay: 0.206741 | az: 0.129196
ax: 0.00938416 | ay: 0.0320435 | az: 0.0617981
ax: 0.0670166 | ay: 0.229019 | az: -0.0354614
ax: -0.0308533 | ay: 0.107178 | az: -0.0160217
ax: -0.0285645 | ay: 0.0764618 | az: 0.0699005
ax: 0.00532532 | ay: 0.112701 | az: 0.0632629
ax: 0.0108643 | ay: 0.123367 | az: 0.0349884
ax: 0.00726318 | ay: 0.085434 | az: 0.0100555
ax: 0.011734 | ay: 0.0672607 | az: 0.0175934
ax: 0.016983 | ay: 0.00642395 | az: -0.0218201
ax: 0.0325165 | ay: 0.000808716 | az: -0.0269928
ax: 0.0436859 | ay: -0.00520325 | az: -0.029953
ax: 0.0878601 | ay: 0.19133 | az: 0.00740051
ax: 0.160904 | ay: 0.0199585 | az: 0.0253448
ax: 0.161469 | ay: -0.0892487 | az: 0.0701904
ax: 0.235062 | ay: -0.0963593 | az: -0.0413055
ax: 0.341614 | ay: -0.0944214 | az: -0.0361633
ax: 0.380981 | ay: -0.169678 | az: -0.028183
ax: 0.418472 | ay: -0.215515 | az: -0.152649
ax: 0.570358 | ay: -0.0984344 | az: -0.342453
ax: 0.850723 | ay: -0.0611115 | az: -0.482132
ax: 1.03716 | ay: -0.321152 | az: -0.898819
ax: 1.048 | ay: -1.33434 | az: -1.3696
ax: 1.05313 | ay: -0.910477 | az: -0.369827
ax: 0.914154 | ay: -0.144867 | az: -0.885315
ax: 0.543716 | ay: -0.264359 | az: -1.51712
ax: -1.04468 | ay: 0.00209045 | az: -0.730911
ax: -0.431778 | ay: 1.0705 | az: -0.18306
ax: -0.318588 | ay: -0.478302 | az: -0.107285
ax: -0.76004 | ay: -0.224319 | az: -0.603638
ax: -0.947266 | ay: -0.41188 | az: -0.582825
ax: -0.974976 | ay: -0.510574 | az: -0.544952
ax: -0.856812 | ay: -0.26532 | az: -0.447037
ax: -0.778961 | ay: -0.176086 | az: -0.286087
ax: -0.653458 | ay: -0.049118 | az: -0.220779
ax: -0.521057 | ay: 0.0544739 | az: -0.157898
ax: -0.352417 | ay: 0.00434875 | az: -0.0888214
ax: -0.0751648 | ay: 0.0557251 | az: -0.0708923
ax: 0.413437 | ay: 0.209 | az: 0.0635376
ax: 0.954468 | ay: 0.25592 | az: 0.516693
ax: 1.18823 | ay: 0.656342 | az: 0.634201
ax: 1.26096 | ay: 1.54346 | az: 0.992676
time: 7
[20210209183525.882]
> sum ax: 7.68704 | sum ay: -0.411758 | sum az: -5.78212
