>>> v: 2.56595
>>> s: 1.99163

ax: -0.00939941 | ay: 0.0325623 | az: -0.113297
ax: -0.0138245 | ay: -0.0322876 | az: -0.1026
ax: -0.0114136 | ay: -0.0781097 | az: -0.070816
ax: 0.0189667 | ay: -0.0920105 | az: -0.110077
ax: 0.0414581 | ay: -0.0732574 | az: -0.0826263
ax: 0.0589294 | ay: -0.0507965 | az: -0.0779724
ax: 0.0645294 | ay: -0.0898285 | az: -0.106552
ax: 0.0570831 | ay: -0.0926361 | az: -0.0718384
ax: 0.0986633 | ay: -0.187912 | az: -0.0743561
ax: 0.135071 | ay: -0.0941467 | az: -0.164948
ax: 0.210358 | ay: -0.173981 | az: -0.146362
ax: 0.256226 | ay: -0.230865 | az: -0.105499
ax: 0.277634 | ay: -0.202911 | az: -0.18898
ax: 0.360291 | ay: -0.191483 | az: -0.20433
ax: 0.390167 | ay: -0.236542 | az: -0.317215
ax: 0.597534 | ay: -0.168411 | az: -0.445435
ax: 1.00972 | ay: -0.140854 | az: -0.52919
ax: 1.10025 | ay: -0.537704 | az: -1.38362
ax: 1.11751 | ay: -1.15326 | az: -0.937866
ax: 0.731659 | ay: -0.376312 | az: -1.10873
ax: 0.716232 | ay: -0.127914 | az: -0.728745
ax: 0.419586 | ay: -0.208145 | az: -1.09221
ax: -0.74791 | ay: 0.428101 | az: -0.302368
ax: -0.245865 | ay: 0.346649 | az: -0.112335
ax: -0.322937 | ay: -0.526535 | az: -0.429276
ax: -0.6418 | ay: -0.591339 | az: -0.693817
ax: -0.735336 | ay: -0.585632 | az: -0.699371
ax: -0.726395 | ay: -0.514282 | az: -0.59642
ax: -0.70372 | ay: -0.415405 | az: -0.500778
ax: -0.649551 | ay: -0.289093 | az: -0.469955
ax: -0.628998 | ay: -0.230011 | az: -0.429169
ax: -0.602478 | ay: -0.199524 | az: -0.423447
ax: -0.503983 | ay: -0.172516 | az: -0.429123
ax: -0.287003 | ay: -0.0914001 | az: -0.415451
ax: 0.0661621 | ay: -0.0758057 | az: -0.257187
ax: 0.327759 | ay: -0.187057 | az: -0.00169373
ax: 0.961227 | ay: 0.415588 | az: 0.328217
ax: 1.07085 | ay: 0.675613 | az: 0.610107
ax: 1.11237 | ay: 1.11661 | az: 0.947571
ax: 1.15161 | ay: 1.73253 | az: 1.00891
ax: 1.02232 | ay: 1.74768 | az: 1.27573
ax: 0.86618 | ay: 1.34525 | az: 1.98355
ax: 0.606003 | ay: 1.18196 | az: 1.80603
ax: 0.798004 | ay: 0.659058 | az: 0.479095
ax: -0.679855 | ay: -0.426239 | az: -0.974487
ax: 0.257492 | ay: -1.32465 | az: -0.293335
ax: 0.511017 | ay: -0.93573 | az: 0.116028
ax: 0.947983 | ay: 0.378906 | az: 0.644043
ax: 0.174515 | ay: 0.332489 | az: 0.1866
ax: 0.00250244 | ay: 0.495071 | az: -0.0399323
time: 6
[20210209183323.754]
> sum ax: 10.0274 | sum ay: -0.216522 | sum az: -5.84554
>> avg ax: 0.200548 | avg ay: -0.00433044 | avg az: -0.116911
>>> vx: 1.96537 | vy: -0.0424383 | vz: -1.14573
>>> sx: 0.766389 | sy: -0.567309 | sz: -1.27658
>>> a: 0.232177
>>> v: 2.27534
>>> s: 1.59337

ax: 0.190765 | ay: 0.395676 | az: 0.210037
ax: 0.196976 | ay: 0.199982 | az: 0.0884247
