ax: 0 | ay: 0 | az: -1
ax: 0.444916 | ay: -0.750015 | az: -0.496216
ax: -0.820724 | ay: -0.207626 | az: -0.891434
ax: -0.850906 | ay: -0.392319 | az: -0.558517
ax: -0.920715 | ay: -0.507828 | az: -0.455231
ax: -0.774704 | ay: -0.314651 | az: -0.329514
ax: -0.613113 | ay: -0.213242 | az: -0.322495
ax: -0.559357 | ay: -0.15213 | az: -0.246155
ax: -0.325928 | ay: -0.113403 | az: -0.135422
ax: -0.0879364 | ay: -0.0916748 | az: -0.0556793
ax: 0.276443 | ay: -0.0620728 | az: 0.0574341
ax: 0.880722 | ay: 0.0709534 | az: 0.280716
ax: 1.23619 | ay: 0.18689 | az: 0.78154
ax: 1.32953 | ay: 0.828873 | az: 1.1075
ax: 1.40919 | ay: 1.45546 | az: 1.66818
ax: 1.45317 | ay: 2.28998 | az: 2.19171
ax: 1.28592 | ay: 2.30048 | az: 2.78496
ax: 1.42178 | ay: 2.01437 | az: 1.87567
ax: 0.458038 | ay: 1.45073 | az: 1.68475
ax: 0.48468 | ay: -1.77522 | az: -1.31207
ax: 1.27864 | ay: -0.225693 | az: 2.13533
ax: 0.91333 | ay: 1.83258 | az: 0.935974
ax: 0.038147 | ay: 0.624344 | az: 1.51747
ax: 0.297867 | ay: 0.417862 | az: 0.506409
ax: 0.16713 | ay: 0.677551 | az: 0.0857697
ax: -0.0974121 | ay: -0.0619659 | az: 0.266678
ax: 0.0448151 | ay: 0.0200958 | az: 0.162628
ax: 0.0427399 | ay: 0.0538483 | az: 0.193604
ax: 0.0145264 | ay: 0.181183 | az: 0.148102
ax: -0.00140381 | ay: 0.177475 | az: 0.106781
ax: 0.0677032 | ay: 0.225342 | az: 0.0373688
ax: 0.0557556 | ay: -0.0377502 | az: 0.100601
ax: 0.0533447 | ay: 0.0244446 | az: 0.0682526
time: 4
[20210209181913.425]
> sum ax: 13.3026 | sum ay: 5.42531 | sum az: 6.76089
>> avg ax: 0.266053 | avg ay: 0.108506 | avg az: 0.135218
>>> vx: 2.60732 | vy: 1.06336 | vz: 1.32514
>>> sx: 1.17466 | sy: -0.251385 | sz: -0.37554
>>> a: 0.317555
>>> v: 3.11204
>>> s: 1.25859

ax: 0.0474091 | ay: 0.0290375 | az: 0.0122528
ax: 0.046463 | ay: 0.0601807 | az: -0.0409088
ax: 0.00267029 | ay: -0.0199432 | az: -0.0328064
ax: 0.145355 | ay: -0.0111542 | az: 0.00524902
ax: 0.221359 | ay: -0.0509186 | az: 0.0767212
ax: 0.242218 | ay: -0.151733 | az: 0.0537109
ax: 0.34227 | ay: -0.269684 | az: -0.00810242
ax: 0.470383 | ay: -0.189285 | az: -0.100189
ax: 0.616119 | ay: -0.301834 | az: -0.0791779
ax: 0.671509 | ay: -0.294998 | az: -0.259415
ax: 0.995316 | ay: -0.240784 | az: -0.642471
ax: 1.03961 | ay: -0.232559 | az: -0.937271
ax: 1.05298 | ay: -1.13107 | az: -1.91481
ax: 1.07146 | ay: -0.970108 | az: -1.25529
ax: 0.987396 | ay: -0.561325 | az: -1.14026
ax: 0.236176 | ay: -0.478134 | az: -1.65005
ax: 1.11586 | ay: 1.13643 | az: -0.546265
ax: 0.0901642 | ay: -0.655594 | az: -0.581833
ax: -0.705551 | ay: -0.596405 | az: -0.964996
ax: -0.949265 | ay: -0.572174 | az: -0.598724
ax: -0.907043 | ay: -0.535858 | az: -0.478424
ax: -0.798172 | ay: -0.347229 | az: -0.360458
ax: -0.714722 | ay: -0.182678 | az: -0.266266
ax: -0.62085 | ay: -0.206421 | az: -0.193054
ax: -0.410294 | ay: -0.214554 | az: -0.0989227
ax: -0.22049 | ay: -0.146851 | az: -0.0334473
ax: 0.0621796 | ay: -0.105606 | az: 0.0464783
ax: 0.60881 | ay: 0.0882568 | az: 0.132751
ax: 1.20328 | ay: 0.0869904 | az: 0.554459
ax: 1.29388 | ay: 0.695496 | az: 0.990326
ax: 1.38336 | ay: 1.43219 | az: 1.49539
ax: 1.44357 | ay: 2.16808 | az: 2.05566
ax: 1.27763 | ay: 2.37216 | az: 2.57903
ax: 1.39137 | ay: 2.35678 | az: 2.71672
ax: 1.19017 | ay: 2.03081 | az: 2.06572
ax: 0.6754 | ay: -0.262299 | az: 0.752243
ax: 0.17392 | ay: -1.72044 | az: -1.37277
ax: 0.677475 | ay: -0.630661 | az: 0.339264
ax: 1.20242 | ay: 2.26697 | az: 1.38026
ax: 0.761902 | ay: 0.307648 | az: 0.924225
ax: 0.189697 | ay: 0.720657 | az: 0.758179
ax: -0.125595 | ay: 0.677155 | az: 0.0244141
ax: -0.0514221 | ay: 0.115448 | az: 0.166901
ax: 0.0337372 | ay: -0.0630035 | az: 0.155136
ax: 0.00883484 | ay: 0.133133 | az: 0.205032
ax: -0.0640411 | ay: 0.141739 | az: 0.142609
ax: 0.0220337 | ay: 0.299667 | az: 0.00750732
ax: -0.0042572 | ay: 0.253693 | az: -0.00978088
ax: 0.0350647 | ay: 0.0435638 | az: 0.00778198
ax: 0.0410767 | ay: 0.0335846 | az: -0.0103607
time: 5
[20210209181914.420]
> sum ax: 17.4988 | sum ay: 6.30635 | sum az: 4.07196
>> avg ax: 0.349977 | avg ay: 0.126127 | avg az: 0.0814392
>>> vx: 3.42977 | vy: 1.23605 | vz: 0.798104
>>> sx: 1.74608 | sy: -0.15131 | sz: -0.613849
>>> a: 0.38082
>>> v: 3.73204
>>> s: 1.85702

ax: 0.0198212 | ay: 0.111893 | az: -0.0683289
ax: 0.12294 | ay: 0.00791931 | az: 0.0395966
ax: 0.0542755 | ay: -0.0561981 | az: 0.00694275
ax: 0.145966 | ay: -0.0437469 | az: 0.0361176
ax: 0.21286 | ay: 0.0287476 | az: -0.00474548
ax: 0.223267 | ay: -0.131165 | az: -0.0544739
ax: 0.397964 | ay: -0.228271 | az: -0.160141
ax: 0.56752 | ay: -0.307449 | az: -0.137009
ax: 0.677979 | ay: -0.34874 | az: -0.206375
ax: 0.820572 | ay: -0.258881 | az: -0.484589
ax: 1.03142 | ay: -0.127853 | az: -0.846878
ax: 1.04614 | ay: -1.08574 | az: -2.06551
ax: 1.064 | ay: -1.10713 | az: -1.0849
ax: 0.816681 | ay: -0.50148 | az: -1.424
ax: 0.551529 | ay: -0.348068 | az: -1.60931
ax: 1.11053 | ay: -1.53021 | az: -0.996323
ax: -0.588943 | ay: -0.0357819 | az: -0.0831299
ax: -0.352112 | ay: -0.834961 | az: -0.939072
ax: -0.85582 | ay: -0.426697 | az: -0.683029
ax: -0.943466 | ay: -0.467987 | az: -0.531586
ax: -0.83342 | ay: -0.330551 | az: -0.430161
ax: -0.743408 | ay: -0.167587 | az: -0.329346
ax: -0.641251 | ay: -0.241882 | az: -0.195084
ax: -0.506805 | ay: -0.17598 | az: -0.153732
ax: -0.320251 | ay: -0.201263 | az: -0.0711823
ax: -0.0791779 | ay: -0.14299 | az: -0.00227356
ax: 0.409363 | ay: 0.0636444 | az: 0.116318
ax: 1.07043 | ay: 0.0482178 | az: 0.485153
ax: 1.25626 | ay: 0.435059 | az: 0.995148
ax: 1.34483 | ay: 1.21744 | az: 1.5038
ax: 1.40993 | ay: 2.17538 | az: 2.20531
ax: 1.33594 | ay: 2.37526 | az: 2.68465
ax: 1.34691 | ay: 2.37001 | az: 2.72098
ax: 1.35391 | ay: 1.61711 | az: 2.44049
ax: 0.310318 | ay: -1.66901 | az: -1.35995
ax: 1.04388 | ay: -0.0364532 | az: 0.429688
ax: 0.754883 | ay: 1.6783 | az: 1.0146
ax: 0.405823 | ay: 1.55544 | az: 0.393768
ax: 0.0102539 | ay: 0.318192 | az: 0.67749
ax: 0.0772705 | ay: 0.610611 | az: 0.231567
ax: 0.332565 | ay: 0.224564 | az: 0.235596
ax: -0.0720062 | ay: 0.0855408 | az: 0.145432
ax: 0.0763397 | ay: 0.164917 | az: 0.0906219
ax: 0.0299072 | ay: 0.150208 | az: -0.0239563
ax: -0.0132599 | ay: 0.266663 | az: -0.035614
ax: -0.0302429 | ay: 0.28949 | az: -0.0755615
ax: -0.00691223 | ay: 0.0781403 | az: 0.0245209
ax: 0.047226 | ay: 0.0866699 | az: 0.0934296
ax: 0.0522461 | ay: 0.0542297 | az: 0.033844
ax: 0.0248413 | ay: 0.0382538 | az: -0.0610657
time: 6
[20210209181915.416]
> sum ax: 15.5695 | sum ay: 5.24582 | sum az: 2.48773
>> avg ax: 0.31139 | avg ay: 0.104916 | avg az: 0.0497546
